UTC time
2019-04-07 06:00:00
2019-04-07 07:00:00
2019-04-07 08:00:00
2019-04-07 09:00:00
2019-04-07 10:00:00
2019-04-07 11:00:00
2019-04-07 12:00:00
2019-04-07 13:00:00
2019-04-07 14:00:00
2019-04-07 15:00:00
2019-04-07 16:00:00
2019-04-07 17:00:00
2019-04-07 18:00:00
2019-04-07 19:00:00
2019-04-07 20:00:00
2019-04-07 21:00:00
2019-04-07 22:00:00
2019-04-07 23:00:00
2019-04-15 00:00:00
2019-04-15 01:00:00
2019-04-15 02:00:00
2019-04-15 03:00:00
2019-04-15 04:00:00
2019-04-15 05:00:00
2019-04-15 06:00:00
2019-04-15 07:00:00
2019-04-15 08:00:00
2019-04-15 09:00:00
2019-04-15 10:00:00
2019-04-15 11:00:00
2019-04-15 12:00:00
2019-04-15 13:00:00
2019-04-15 14:00:00
2019-04-15 15:00:00
2019-04-15 16:00:00
2019-04-15 17:00:00
2019-04-15 18:00:00
2019-04-15 19:00:00
2019-04-15 20:00:00
2019-04-15 21:00:00
2019-04-15 22:00:00
2019-04-15 23:00:00
2019-04-23 00:00:00
2019-04-23 01:00:00
2019-04-23 02:00:00
2019-04-23 03:00:00
2019-04-23 04:00:00
2019-04-23 05:00:00
2019-04-23 06:00:00
2019-04-23 07:00:00
2019-04-23 08:00:00
2019-04-23 09:00:00
2019-04-23 10:00:00
2019-04-23 11:00:00
2019-04-23 12:00:00
2019-04-23 13:00:00
2019-04-23 14:00:00
2019-04-23 15:00:00
2019-04-23 16:00:00
2019-04-23 17:00:00
2019-04-23 18:00:00
2019-04-23 19:00:00
2019-04-23 20:00:00
2019-04-23 21:00:00
2019-04-23 22:00:00
2019-04-23 23:00:00
2019-05-01 00:00:00
2019-05-01 01:00:00
2019-05-01 02:00:00
2019-05-01 03:00:00
2019-05-01 04:00:00
2019-05-01 05:00:00
2019-05-01 06:00:00
2019-05-01 07:00:00
2019-05-01 08:00:00
2019-05-01 09:00:00
2019-05-01 10:00:00
2019-05-01 11:00:00
2019-05-01 12:00:00
2019-05-01 13:00:00
2019-05-01 14:00:00
2019-05-01 15:00:00
2019-05-01 16:00:00
2019-05-01 17:00:00
2019-05-01 18:00:00
2019-05-01 19:00:00
2019-05-01 20:00:00
2019-05-01 21:00:00
2019-05-01 22:00:00
2019-05-01 23:00:00
2019-05-09 00:00:00
2019-05-09 01:00:00
2019-05-09 02:00:00
2019-05-09 03:00:00
2019-05-09 04:00:00
2019-05-09 05:00:00
2019-05-09 06:00:00
2019-05-09 07:00:00
2019-05-09 08:00:00
2019-05-09 09:00:00
2019-05-09 10:00:00
2019-05-09 11:00:00
2019-05-09 12:00:00
2019-05-09 13:00:00
2019-05-09 14:00:00
2019-05-09 15:00:00
2019-05-09 16:00:00
2019-05-09 17:00:00
2019-05-09 18:00:00
2019-05-09 19:00:00
2019-05-09 20:00:00
2019-05-09 21:00:00
2019-05-09 22:00:00
2019-05-09 23:00:00
2019-05-17 00:00:00
2019-05-17 01:00:00
2019-05-17 02:00:00
2019-05-17 03:00:00
2019-05-17 04:00:00
2019-05-17 05:00:00
2019-05-17 06:00:00
2019-05-17 07:00:00
2019-05-17 08:00:00
2019-05-17 09:00:00
2019-05-17 10:00:00
2019-05-17 11:00:00
2019-05-17 12:00:00
2019-05-17 13:00:00
2019-05-17 14:00:00
2019-05-17 15:00:00
2019-05-17 16:00:00
2019-05-17 17:00:00
2019-05-17 18:00:00
2019-05-17 19:00:00
2019-05-17 20:00:00
2019-05-17 21:00:00
2019-05-17 22:00:00
2019-05-17 23:00:00
2019-05-25 00:00:00
2019-05-25 01:00:00
2019-05-25 02:00:00
2019-05-25 03:00:00
2019-05-25 04:00:00
2019-05-25 05:00:00
2019-05-25 06:00:00
2019-05-25 07:00:00
2019-05-25 08:00:00
2019-05-25 09:00:00
2019-05-25 10:00:00
2019-05-25 11:00:00
2019-05-25 12:00:00
2019-05-25 13:00:00
2019-05-25 14:00:00
2019-05-25 15:00:00
2019-05-25 16:00:00
2019-05-25 17:00:00
2019-05-25 18:00:00
2019-05-25 19:00:00
2019-05-25 20:00:00
2019-05-25 21:00:00
2019-05-25 22:00:00
2019-05-25 23:00:00
2019-06-02 00:00:00
2019-06-02 01:00:00
2019-06-02 02:00:00
2019-06-02 03:00:00
2019-06-02 04:00:00
2019-06-02 05:00:00
2019-06-02 06:00:00
2019-06-02 07:00:00
2019-06-02 08:00:00
2019-06-02 09:00:00
2019-06-02 10:00:00
2019-06-02 11:00:00
2019-06-02 12:00:00
2019-06-02 13:00:00
2019-06-02 14:00:00
2019-06-02 15:00:00
2019-06-02 16:00:00
2019-06-02 17:00:00
2019-06-02 18:00:00
2019-06-02 19:00:00
2019-06-02 20:00:00
2019-06-02 21:00:00
2019-06-02 22:00:00
2019-06-02 23:00:00
2019-06-10 00:00:00
2019-06-10 01:00:00
2019-06-10 02:00:00
2019-06-10 03:00:00
2019-06-10 04:00:00
2019-06-10 05:00:00
2019-06-10 06:00:00
2019-06-10 07:00:00
2019-06-10 08:00:00
2019-06-10 09:00:00
2019-06-10 10:00:00
2019-06-10 11:00:00
2019-06-10 12:00:00
2019-06-10 13:00:00
2019-06-10 14:00:00
2019-06-10 15:00:00
2019-06-10 16:00:00
2019-06-10 17:00:00
2019-06-10 18:00:00
2019-06-10 19:00:00
2019-06-10 20:00:00
2019-06-10 21:00:00
2019-06-10 22:00:00
2019-06-10 23:00:00
2019-06-18 00:00:00
2019-06-18 01:00:00
2019-06-18 02:00:00
2019-06-18 03:00:00
2019-06-18 04:00:00
2019-06-18 05:00:00
2019-06-18 06:00:00
2019-06-18 07:00:00
2019-06-18 08:00:00
2019-06-18 09:00:00
2019-06-18 10:00:00
2019-06-18 11:00:00
2019-06-18 12:00:00
2019-06-18 13:00:00
2019-06-18 14:00:00
2019-06-18 15:00:00
2019-06-18 16:00:00
2019-06-18 17:00:00
2019-06-18 18:00:00
2019-06-18 19:00:00
2019-06-18 20:00:00
2019-06-18 21:00:00
2019-06-18 22:00:00
2019-06-18 23:00:00
2019-06-26 00:00:00
2019-06-26 01:00:00
2019-06-26 02:00:00
2019-06-26 03:00:00
2019-06-26 04:00:00
2019-06-26 05:00:00
2019-06-26 06:00:00
2019-06-26 07:00:00
2019-06-26 08:00:00
2019-06-26 09:00:00
2019-06-26 10:00:00
2019-06-26 11:00:00
2019-06-26 12:00:00
2019-06-26 13:00:00
2019-06-26 14:00:00
2019-06-26 15:00:00
2019-06-26 16:00:00
2019-06-26 17:00:00
2019-06-26 18:00:00
2019-06-26 19:00:00
2019-06-26 20:00:00
2019-06-26 21:00:00
2019-06-26 22:00:00
2019-06-26 23:00:00
2019-07-04 00:00:00
2019-07-04 01:00:00
2019-07-04 02:00:00
2019-07-04 03:00:00
2019-07-04 04:00:00
2019-07-04 05:00:00
2019-07-04 06:00:00
2019-07-04 07:00:00
2019-07-04 08:00:00
2019-07-04 09:00:00
2019-07-04 10:00:00
2019-07-04 11:00:00
2019-07-04 12:00:00
2019-07-04 13:00:00
2019-07-04 14:00:00
2019-07-04 15:00:00
2019-07-04 16:00:00
2019-07-04 17:00:00
2019-07-04 18:00:00
2019-07-04 19:00:00
2019-07-04 20:00:00
2019-07-04 21:00:00
2019-07-04 22:00:00
2019-07-04 23:00:00
2019-07-12 00:00:00
2019-07-12 01:00:00
2019-07-12 02:00:00
2019-07-12 03:00:00
2019-07-12 04:00:00
2019-07-12 05:00:00
2019-07-12 06:00:00
2019-07-12 07:00:00
2019-07-12 08:00:00
2019-07-12 09:00:00
2019-07-12 10:00:00
2019-07-12 11:00:00
2019-07-12 12:00:00
2019-07-12 13:00:00
2019-07-12 14:00:00
2019-07-12 15:00:00
2019-07-12 16:00:00
2019-07-12 17:00:00
2019-07-12 18:00:00
2019-07-12 19:00:00
2019-07-12 20:00:00
2019-07-12 21:00:00
2019-07-12 22:00:00
2019-07-12 23:00:00
2019-07-20 00:00:00
2019-07-20 01:00:00
2019-07-20 02:00:00
2019-07-20 03:00:00
2019-07-20 04:00:00
2019-07-20 05:00:00
2019-07-20 06:00:00
2019-07-20 07:00:00
2019-07-20 08:00:00
2019-07-20 09:00:00
2019-07-20 10:00:00
2019-07-20 11:00:00
2019-07-20 12:00:00
2019-07-20 13:00:00
2019-07-20 14:00:00
2019-07-20 15:00:00
2019-07-20 16:00:00
2019-07-20 17:00:00
2019-07-20 18:00:00
2019-07-20 19:00:00
2019-07-20 20:00:00
2019-07-20 21:00:00
2019-07-20 22:00:00
2019-07-20 23:00:00
2019-07-28 00:00:00
2019-07-28 01:00:00
2019-07-28 02:00:00
2019-07-28 03:00:00
2019-07-28 04:00:00
2019-07-28 05:00:00
2019-07-28 06:00:00
2019-07-28 07:00:00
2019-07-28 08:00:00
2019-07-28 09:00:00
2019-07-28 10:00:00
2019-07-28 11:00:00
2019-07-28 12:00:00
2019-07-28 13:00:00
2019-07-28 14:00:00
2019-07-28 15:00:00
2019-07-28 16:00:00
2019-07-28 17:00:00
2019-07-28 18:00:00
2019-07-28 19:00:00
2019-07-28 20:00:00
2019-07-28 21:00:00
2019-07-28 22:00:00
2019-07-28 23:00:00
2019-08-05 00:00:00
2019-08-05 01:00:00
2019-08-05 02:00:00
2019-08-05 03:00:00
2019-08-05 04:00:00
2019-08-05 05:00:00
2019-08-05 06:00:00
2019-08-05 07:00:00
2019-08-05 08:00:00
2019-08-05 09:00:00
2019-08-05 10:00:00
2019-08-05 11:00:00
2019-08-05 12:00:00
2019-08-05 13:00:00
2019-08-05 14:00:00
2019-08-05 15:00:00
2019-08-05 16:00:00
2019-08-05 17:00:00
2019-08-05 18:00:00
2019-08-05 19:00:00
2019-08-05 20:00:00
2019-08-05 21:00:00
2019-08-05 22:00:00
2019-08-05 23:00:00
2019-08-13 00:00:00
2019-08-13 01:00:00
2019-08-13 02:00:00
2019-08-13 03:00:00
2019-08-13 04:00:00
2019-08-13 05:00:00
2019-08-13 06:00:00
2019-08-13 07:00:00
2019-08-13 08:00:00
2019-08-13 09:00:00
2019-08-13 10:00:00
2019-08-13 11:00:00
2019-08-13 12:00:00
2019-08-13 13:00:00
2019-08-13 14:00:00
2019-08-13 15:00:00
2019-08-13 16:00:00
2019-08-13 17:00:00
2019-08-13 18:00:00
2019-08-13 19:00:00
2019-08-13 20:00:00
2019-08-13 21:00:00
2019-08-13 22:00:00
2019-08-13 23:00:00
2019-08-21 00:00:00
2019-08-21 01:00:00
2019-08-21 02:00:00
2019-08-21 03:00:00
2019-08-21 04:00:00
2019-08-21 05:00:00
2019-08-21 06:00:00
2019-08-21 07:00:00
2019-08-21 08:00:00
2019-08-21 09:00:00
2019-08-21 10:00:00
2019-08-21 11:00:00
2019-08-21 12:00:00
2019-08-21 13:00:00
2019-08-21 14:00:00
2019-08-21 15:00:00
2019-08-21 16:00:00
2019-08-21 17:00:00
2019-08-21 18:00:00
2019-08-21 19:00:00
2019-08-21 20:00:00
2019-08-21 21:00:00
2019-08-21 22:00:00
2019-08-21 23:00:00
2019-08-29 00:00:00
2019-08-29 01:00:00
2019-08-29 02:00:00
2019-08-29 03:00:00
2019-08-29 04:00:00
2019-08-29 05:00:00
2019-08-29 06:00:00
2019-08-29 07:00:00
2019-08-29 08:00:00
2019-08-29 09:00:00
2019-08-29 10:00:00
2019-08-29 11:00:00
2019-08-29 12:00:00
2019-08-29 13:00:00
2019-08-29 14:00:00
2019-08-29 15:00:00
2019-08-29 16:00:00
2019-08-29 17:00:00
2019-08-29 18:00:00
2019-08-29 19:00:00
2019-08-29 20:00:00
2019-08-29 21:00:00
2019-08-29 22:00:00
2019-08-29 23:00:00
2019-09-06 00:00:00
2019-09-06 01:00:00
2019-09-06 02:00:00
2019-09-06 03:00:00
2019-09-06 04:00:00
2019-09-06 05:00:00
2019-09-06 06:00:00
2019-09-06 07:00:00
2019-09-06 08:00:00
2019-09-06 09:00:00
2019-09-06 10:00:00
2019-09-06 11:00:00
2019-09-06 12:00:00
2019-09-06 13:00:00
2019-09-06 14:00:00
2019-09-06 15:00:00
2019-09-06 16:00:00
2019-09-06 17:00:00
2019-09-06 18:00:00
2019-09-06 19:00:00
2019-09-06 20:00:00
2019-09-06 21:00:00
2019-09-06 22:00:00
2019-09-06 23:00:00
2019-09-14 00:00:00
2019-09-14 01:00:00
2019-09-14 02:00:00
2019-09-14 03:00:00
2019-09-14 04:00:00
2019-09-14 05:00:00
2019-09-14 06:00:00
2019-09-14 07:00:00
2019-09-14 08:00:00
2019-09-14 09:00:00
2019-09-14 10:00:00
2019-09-14 11:00:00
2019-09-14 12:00:00
2019-09-14 13:00:00
2019-09-14 14:00:00
2019-09-14 15:00:00
2019-09-14 16:00:00
2019-09-14 17:00:00
2019-09-14 18:00:00
2019-09-14 19:00:00
2019-09-14 20:00:00
2019-09-14 21:00:00
2019-09-14 22:00:00
2019-09-14 23:00:00
2019-09-22 00:00:00
2019-09-22 01:00:00
2019-09-22 02:00:00
2019-09-22 03:00:00
2019-09-22 04:00:00
2019-09-22 05:00:00
2019-09-22 06:00:00
2019-09-22 07:00:00
2019-09-22 08:00:00
2019-09-22 09:00:00
2019-09-22 10:00:00
2019-09-22 11:00:00
2019-09-22 12:00:00
2019-09-22 13:00:00
2019-09-22 14:00:00
2019-09-22 15:00:00
2019-09-22 16:00:00
2019-09-22 17:00:00
2019-09-22 18:00:00
2019-09-22 19:00:00
2019-09-22 20:00:00
2019-09-22 21:00:00
2019-09-22 22:00:00
2019-09-22 23:00:00
2019-09-30 00:00:00
2019-09-30 01:00:00
2019-09-30 02:00:00
2019-09-30 03:00:00
2019-09-30 04:00:00
2019-09-30 05:00:00
2019-09-30 06:00:00
2019-09-30 07:00:00
2019-09-30 08:00:00
2019-09-30 09:00:00
2019-09-30 10:00:00
2019-09-30 11:00:00
2019-09-30 12:00:00
2019-09-30 13:00:00
2019-09-30 14:00:00
2019-09-30 15:00:00
2019-09-30 16:00:00
2019-09-30 17:00:00
2019-09-30 18:00:00
2019-09-30 19:00:00
2019-09-30 20:00:00
2019-09-30 21:00:00
2019-09-30 22:00:00
2019-09-30 23:00:00
2019-10-08 00:00:00
2019-10-08 01:00:00
2019-10-08 02:00:00
2019-10-08 03:00:00
2019-10-08 04:00:00
2019-10-08 05:00:00
2019-10-08 06:00:00
2019-10-08 07:00:00
2019-10-08 08:00:00
2019-10-08 09:00:00
2019-10-08 10:00:00
2019-10-08 11:00:00
2019-10-08 12:00:00
2019-10-08 13:00:00
2019-10-08 14:00:00
2019-10-08 15:00:00
2019-10-08 16:00:00
2019-10-08 17:00:00
2019-10-08 18:00:00
2019-10-08 19:00:00
2019-10-08 20:00:00
2019-10-08 21:00:00
2019-10-08 22:00:00
2019-10-08 23:00:00
2019-10-16 00:00:00
2019-10-16 01:00:00
2019-10-16 02:00:00
2019-10-16 03:00:00
2019-10-16 04:00:00
2019-10-16 05:00:00
2019-10-16 06:00:00
2019-10-16 07:00:00
2019-10-16 08:00:00
2019-10-16 09:00:00
2019-10-16 10:00:00
2019-10-16 11:00:00
2019-10-16 12:00:00
2019-10-16 13:00:00
2019-10-16 14:00:00
2019-10-16 15:00:00
2019-10-16 16:00:00
2019-10-16 17:00:00
2019-10-16 18:00:00
2019-10-16 19:00:00
2019-10-16 20:00:00
2019-10-16 21:00:00
2019-10-16 22:00:00
2019-10-16 23:00:00
2019-10-24 00:00:00
2019-10-24 01:00:00
2019-10-24 02:00:00
2019-10-24 03:00:00
2019-10-24 04:00:00
2019-10-24 05:00:00
2019-10-24 06:00:00
2019-10-24 07:00:00
2019-10-24 08:00:00
2019-10-24 09:00:00
2019-10-24 10:00:00
2019-10-24 11:00:00
2019-10-24 12:00:00
2019-10-24 13:00:00
2019-10-24 14:00:00
2019-10-24 15:00:00
2019-10-24 16:00:00
2019-10-24 17:00:00
2019-10-24 18:00:00
2019-10-24 19:00:00
2019-10-24 20:00:00
2019-10-24 21:00:00
2019-10-24 22:00:00
2019-10-24 23:00:00
2019-11-01 00:00:00
2019-11-01 01:00:00
2019-11-01 02:00:00
2019-11-01 03:00:00
2019-11-01 04:00:00
2019-11-01 05:00:00
2019-11-01 06:00:00
2019-11-01 07:00:00
2019-11-01 08:00:00
2019-11-01 09:00:00
2019-11-01 10:00:00
2019-11-01 11:00:00
2019-11-01 12:00:00
2019-11-01 13:00:00
2019-11-01 14:00:00
2019-11-01 15:00:00
2019-11-01 16:00:00
2019-11-01 17:00:00
2019-11-01 18:00:00
2019-11-01 19:00:00
2019-11-01 20:00:00
2019-11-01 21:00:00
2019-11-01 22:00:00
2019-11-01 23:00:00
2019-11-09 00:00:00
2019-11-09 01:00:00
2019-11-09 02:00:00
2019-11-09 03:00:00
2019-11-09 04:00:00
2019-11-09 05:00:00
2019-11-09 06:00:00
2019-11-09 07:00:00
2019-11-09 08:00:00
2019-11-09 09:00:00
2019-11-09 10:00:00
2019-11-09 11:00:00
2019-11-09 12:00:00
2019-11-09 13:00:00
2019-11-09 14:00:00
2019-11-09 15:00:00
2019-11-09 16:00:00
2019-11-09 17:00:00
2019-11-09 18:00:00
2019-11-09 19:00:00
2019-11-09 20:00:00
2019-11-09 21:00:00
2019-11-09 22:00:00
2019-11-09 23:00:00
2019-11-17 00:00:00
2019-11-17 01:00:00
2019-11-17 02:00:00
2019-11-17 03:00:00
2019-11-17 04:00:00
2019-11-17 05:00:00
2019-11-17 06:00:00
2019-11-17 07:00:00
2019-11-17 08:00:00
2019-11-17 09:00:00
2019-11-17 10:00:00
2019-11-17 11:00:00
2019-11-17 12:00:00
2019-11-17 13:00:00
2019-11-17 14:00:00
2019-11-17 15:00:00
2019-11-17 16:00:00
2019-11-17 17:00:00
2019-11-17 18:00:00
2019-11-17 19:00:00
2019-11-17 20:00:00
2019-11-17 21:00:00
2019-11-17 22:00:00
2019-11-17 23:00:00
2019-11-25 00:00:00
2019-11-25 01:00:00
2019-11-25 02:00:00
2019-11-25 03:00:00
2019-11-25 04:00:00
2019-11-25 05:00:00
2019-11-25 06:00:00
2019-11-25 07:00:00
2019-11-25 08:00:00
2019-11-25 09:00:00
2019-11-25 10:00:00
2019-11-25 11:00:00
2019-11-25 12:00:00
2019-11-25 13:00:00
2019-11-25 14:00:00
2019-11-25 15:00:00
2019-11-25 16:00:00
2019-11-25 17:00:00
2019-11-25 18:00:00
2019-11-25 19:00:00
2019-11-25 20:00:00
2019-11-25 21:00:00
2019-11-25 22:00:00
2019-11-25 23:00:00
2019-12-03 00:00:00
2019-12-03 01:00:00
2019-12-03 02:00:00
2019-12-03 03:00:00
2019-12-03 04:00:00
2019-12-03 05:00:00
2019-12-03 06:00:00
2019-12-03 07:00:00
2019-12-03 08:00:00
2019-12-03 09:00:00
2019-12-03 10:00:00
2019-12-03 11:00:00
2019-12-03 12:00:00
2019-12-03 13:00:00
2019-12-03 14:00:00
2019-12-03 15:00:00
2019-12-03 16:00:00
2019-12-03 17:00:00
2019-12-03 18:00:00
2019-12-03 19:00:00
2019-12-03 20:00:00
2019-12-03 21:00:00
2019-12-03 22:00:00
2019-12-03 23:00:00
2019-12-11 00:00:00
2019-12-11 01:00:00
2019-12-11 02:00:00
2019-12-11 03:00:00
2019-12-11 04:00:00
2019-12-11 05:00:00
2019-12-11 06:00:00
2019-12-11 07:00:00
2019-12-11 08:00:00
2019-12-11 09:00:00
2019-12-11 10:00:00
2019-12-11 11:00:00
2019-12-11 12:00:00
2019-12-11 13:00:00
2019-12-11 14:00:00
2019-12-11 15:00:00
2019-12-11 16:00:00
2019-12-11 17:00:00
2019-12-11 18:00:00
2019-12-11 19:00:00
2019-12-11 20:00:00
2019-12-11 21:00:00
2019-12-11 22:00:00
2019-12-11 23:00:00
2019-12-19 00:00:00
2019-12-19 01:00:00
2019-12-19 02:00:00
2019-12-19 03:00:00
2019-12-19 04:00:00
2019-12-19 05:00:00
2019-12-19 06:00:00
2019-12-19 07:00:00
2019-12-19 08:00:00
2019-12-19 09:00:00
2019-12-19 10:00:00
2019-12-19 11:00:00
2019-12-19 12:00:00
2019-12-19 13:00:00
2019-12-19 14:00:00
2019-12-19 15:00:00
2019-12-19 16:00:00
2019-12-19 17:00:00
2019-12-19 18:00:00
2019-12-19 19:00:00
