,UTC time,Local time,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,forecasted_avg_wind_production
146,01/07/2019 02:00:00,2019-01-06 18:00:00,267.7,11,8569,2266,89,2891,0,2602,0
147,01/07/2019 03:00:00,2019-01-06 19:00:00,263.94,11,8218,2265,88,2659,0,2730,0
148,01/07/2019 04:00:00,2019-01-06 20:00:00,272.84,10,8181,2267,90,2275,0,2515,0
149,01/07/2019 05:00:00,2019-01-06 21:00:00,268.26,11,7780,2267,88,1924,0,2775,0
150,01/07/2019 06:00:00,2019-01-06 22:00:00,254.13,10,7027,2267,91,1879,0,3044,0
151,01/07/2019 07:00:00,2019-01-06 23:00:00,255.65,11,6858,2268,91,1386,0,3170,0
152,01/07/2019 08:00:00,2019-01-07 00:00:00,253.46,11,6082,2267,90,957,0,2943,0
153,01/07/2019 09:00:00,2019-01-07 01:00:00,232.77,11,5215,2266,89,822,0,3216,0
154,01/07/2019 10:00:00,2019-01-07 02:00:00,266.75,10,5873,2268,90,503,0,2621,0
155,01/07/2019 11:00:00,2019-01-07 03:00:00,274.29,10,6213,2268,90,482,0,2522,0
156,01/07/2019 12:00:00,2019-01-07 04:00:00,292.53,11,6515,2267,90,636,0,1839,0
157,01/07/2019 13:00:00,2019-01-07 05:00:00,289.98,13,6787,2268,90,1521,0,1297,0
158,01/07/2019 14:00:00,2019-01-07 06:00:00,306.57,12,8238,2267,90,1939,0,1125,0
159,01/07/2019 15:00:00,2019-01-07 07:00:00,307.56,10,9138,2267,46,2464,64,1028,0
160,01/07/2019 16:00:00,2019-01-07 08:00:00,283.29,13,8367,2269,46,1963,1646,869,0
161,01/07/2019 17:00:00,2019-01-07 09:00:00,246.47,11,7638,2267,46,1760,3929,723,0
162,01/07/2019 18:00:00,2019-01-07 10:00:00,214.18,13,6300,2269,46,1476,5139,771,0
163,01/07/2019 19:00:00,2019-01-07 11:00:00,204.42,12,6209,2268,46,1214,6282,745,0
164,01/07/2019 20:00:00,2019-01-07 12:00:00,205.37,14,6265,2269,47,1158,6419,692,0
165,01/07/2019 21:00:00,2019-01-07 13:00:00,203.37,14,6291,2265,47,1128,6757,660,0
166,01/07/2019 22:00:00,2019-01-07 14:00:00,208,13,6619,2265,50,1115,6965,570,0
167,01/07/2019 23:00:00,2019-01-07 15:00:00,218.04,14,6991,2264,62,1576,5590,951,0
168,01/08/2019 00:00:00,2019-01-07 16:00:00,281.73,13,8682,2263,51,2191,1687,965,0
169,01/08/2019 01:00:00,2019-01-07 17:00:00,308.3,13,11090,2263,51,3281,0,1520,0
170,01/08/2019 02:00:00,2019-01-07 18:00:00,312.31,12,11658,2264,52,3386,0,1523,0
171,01/08/2019 03:00:00,2019-01-07 19:00:00,323.85,12,11417,2263,52,3082,0,1010,0
172,01/08/2019 04:00:00,2019-01-07 20:00:00,330.46,9,11133,2264,76,2758,0,747,0
173,01/08/2019 05:00:00,2019-01-07 21:00:00,329.12,12,10391,2265,87,2188,0,1005,0
174,01/08/2019 06:00:00,2019-01-07 22:00:00,326.15,12,9492,2265,89,1807,0,1119,0
175,01/08/2019 07:00:00,2019-01-07 23:00:00,325.31,11,8540,2266,90,1593,0,867,0
176,01/08/2019 08:00:00,2019-01-08 00:00:00,324.81,13,8091,2264,90,1407,0,802,0
177,01/08/2019 09:00:00,2019-01-08 01:00:00,350.02,11,8699,2264,90,777,0,682,0
178,01/08/2019 10:00:00,2019-01-08 02:00:00,355.79,10,8700,2265,91,708,0,538,0
179,01/08/2019 11:00:00,2019-01-08 03:00:00,346.67,11,8420,2263,90,725,0,739,0
180,01/08/2019 12:00:00,2019-01-08 04:00:00,337.62,12,8245,2264,90,796,0,929,0
181,01/08/2019 13:00:00,2019-01-08 05:00:00,335.57,12,8742,2266,90,1115,0,935,0
182,01/08/2019 14:00:00,2019-01-08 06:00:00,341.12,13,9783,2266,87,1514,0,803,0
183,01/08/2019 15:00:00,2019-01-08 07:00:00,346.22,12,11074,2263,88,1929,133,685,0
184,01/08/2019 16:00:00,2019-01-08 08:00:00,313.94,12,10658,2264,82,1791,2108,463,0
185,01/08/2019 17:00:00,2019-01-08 09:00:00,280.45,12,9403,2265,88,1114,4268,411,0
186,01/08/2019 18:00:00,2019-01-08 10:00:00,255.73,14,8596,2265,88,922,5610,443,0
187,01/08/2019 19:00:00,2019-01-08 11:00:00,253.2,13,8672,2264,90,853,5965,467,0
188,01/08/2019 20:00:00,2019-01-08 12:00:00,260.59,13,8909,2265,92,630,5866,468,0
189,01/08/2019 21:00:00,2019-01-08 13:00:00,261.69,12,8807,2263,90,649,5731,364,0
190,01/08/2019 22:00:00,2019-01-08 14:00:00,254.8,14,8282,2262,91,1030,5232,440,0
191,01/08/2019 23:00:00,2019-01-08 15:00:00,282.25,12,9055,2262,90,1161,3678,505,0
192,01/09/2019 00:00:00,2019-01-08 16:00:00,338.13,12,10761,2260,91,1751,967,299,0
193,01/09/2019 01:00:00,2019-01-08 17:00:00,347.32,13,11944,2261,91,2848,0,199,0
194,01/09/2019 02:00:00,2019-01-08 18:00:00,340.49,13,12178,2263,91,3022,0,477,0
195,01/09/2019 03:00:00,2019-01-08 19:00:00,343.52,11,11728,2262,91,2793,0,342,0
196,01/09/2019 04:00:00,2019-01-08 20:00:00,344.06,11,11341,2262,88,2487,0,422,0
197,01/09/2019 05:00:00,2019-01-08 21:00:00,347.72,13,10945,2263,90,2163,0,388,0
198,01/09/2019 06:00:00,2019-01-08 22:00:00,341.7,13,9717,2262,87,1726,0,558,0
199,01/09/2019 07:00:00,2019-01-08 23:00:00,330.09,12,8594,2269,87,1601,0,615,0
200,01/09/2019 08:00:00,2019-01-09 00:00:00,346.04,12,8750,2267,85,1009,0,686,0
201,01/09/2019 09:00:00,2019-01-09 01:00:00,343.7,12,8587,2263,88,717,0,929,0
202,01/09/2019 10:00:00,2019-01-09 02:00:00,337.23,13,8235,2264,88,709,0,1022,0
203,01/09/2019 11:00:00,2019-01-09 03:00:00,337.53,13,8113,2263,86,735,0,928,0
204,01/09/2019 12:00:00,2019-01-09 04:00:00,345.15,12,8446,2261,84,963,0,575,0
205,01/09/2019 13:00:00,2019-01-09 05:00:00,326.07,13,7882,2262,84,1576,0,442,0
206,01/09/2019 14:00:00,2019-01-09 06:00:00,312.78,13,8454,2261,86,2182,0,741,0
207,01/09/2019 15:00:00,2019-01-09 07:00:00,325.25,9,9644,2261,54,2305,57,663,0
208,01/09/2019 16:00:00,2019-01-09 08:00:00,282.48,11,8904,2262,84,1877,2556,679,0
209,01/09/2019 17:00:00,2019-01-09 09:00:00,246.61,13,7805,2262,90,1382,4966,441,0
210,01/09/2019 18:00:00,2019-01-09 10:00:00,233.59,12,7482,2262,90,1304,5657,563,0
211,01/09/2019 19:00:00,2019-01-09 11:00:00,232.72,13,7341,2262,90,1199,5812,421,0
212,01/09/2019 20:00:00,2019-01-09 12:00:00,240.98,14,7594,2262,91,930,5836,413,0
213,01/09/2019 21:00:00,2019-01-09 13:00:00,239.25,13,7629,2262,91,988,5728,519,0
214,01/09/2019 22:00:00,2019-01-09 14:00:00,233.2,12,7372,2261,90,1440,5352,583,0
215,01/09/2019 23:00:00,2019-01-09 15:00:00,251.29,12,7657,2261,90,1658,3443,1009,0
216,01/10/2019 00:00:00,2019-01-09 16:00:00,253.96,12,7747,2261,91,2007,1164,2550,0
217,01/10/2019 01:00:00,2019-01-09 17:00:00,266.08,14,8664,2261,91,3086,0,2623,0
218,01/10/2019 02:00:00,2019-01-09 18:00:00,298.32,13,10087,2260,91,3154,0,1601,0
219,01/10/2019 03:00:00,2019-01-09 19:00:00,313.81,11,10523,2259,91,3048,0,1104,0
220,01/10/2019 04:00:00,2019-01-09 20:00:00,317.73,13,10227,2259,89,2719,0,1021,0
221,01/10/2019 05:00:00,2019-01-09 21:00:00,317.74,13,9543,2260,90,2291,0,1035,0
222,01/10/2019 06:00:00,2019-01-09 22:00:00,324.94,14,9013,2259,91,1713,0,1010,0
223,01/10/2019 07:00:00,2019-01-09 23:00:00,325.83,13,8505,2264,90,1413,0,971,0
224,01/10/2019 08:00:00,2019-01-10 00:00:00,304.75,13,7598,2263,90,1158,0,1597,0
225,01/10/2019 09:00:00,2019-01-10 01:00:00,302.26,11,7498,2260,90,943,0,1807,0
226,01/10/2019 10:00:00,2019-01-10 02:00:00,303.59,13,7245,2262,90,902,0,1633,0
227,01/10/2019 11:00:00,2019-01-10 03:00:00,318.71,12,7453,2261,88,867,0,1179,0
228,01/10/2019 12:00:00,2019-01-10 04:00:00,302.76,11,7160,2261,91,1061,0,1456,0
229,01/10/2019 13:00:00,2019-01-10 05:00:00,297.99,11,7465,2261,90,1289,0,1641,0
230,01/10/2019 14:00:00,2019-01-10 06:00:00,302.61,12,8301,2261,91,1739,0,1549,0
231,01/10/2019 15:00:00,2019-01-10 07:00:00,308.61,12,9337,2262,90,2191,32,1488,0
232,01/10/2019 16:00:00,2019-01-10 08:00:00,264.03,13,8179,2264,90,1709,2659,1292,0
233,01/10/2019 17:00:00,2019-01-10 09:00:00,223.04,13,6905,2262,90,1399,5352,853,0
234,01/10/2019 18:00:00,2019-01-10 10:00:00,197.91,13,5787,2263,90,1221,6533,573,0
235,01/10/2019 19:00:00,2019-01-10 11:00:00,197.52,13,5811,2263,91,1303,6757,512,0
236,01/10/2019 20:00:00,2019-01-10 12:00:00,195.05,12,5838,2263,91,1122,7091,547,0
237,01/10/2019 21:00:00,2019-01-10 13:00:00,198.47,12,6218,2263,91,1315,7320,461,0
238,01/10/2019 22:00:00,2019-01-10 14:00:00,200.76,12,6315,2262,91,1458,7115,432,0
239,01/10/2019 23:00:00,2019-01-10 15:00:00,217.97,14,6799,2263,91,1806,5721,441,0
240,01/11/2019 00:00:00,2019-01-10 16:00:00,279.36,14,8062,2260,91,2108,1984,492,0
241,01/11/2019 01:00:00,2019-01-10 17:00:00,314.7,13,9717,2259,90,3187,0,481,0
242,01/11/2019 02:00:00,2019-01-10 18:00:00,312.28,12,10034,2260,91,3564,0,443,0
243,01/11/2019 03:00:00,2019-01-10 19:00:00,323.11,13,10126,2260,90,3005,0,472,0
244,01/11/2019 04:00:00,2019-01-10 20:00:00,333.14,13,10170,2260,89,2504,0,442,0
245,01/11/2019 05:00:00,2019-01-10 21:00:00,334.56,15,9543,2260,90,2121,0,431,0
246,01/11/2019 06:00:00,2019-01-10 22:00:00,344.65,15,9555,2261,91,1636,0,443,0
247,01/11/2019 07:00:00,2019-01-10 23:00:00,342.07,14,8701,2261,90,1410,0,412,0
248,01/11/2019 08:00:00,2019-01-11 00:00:00,334.15,14,7839,2262,90,1181,0,534,0
249,01/11/2019 09:00:00,2019-01-11 01:00:00,342.77,14,7856,2261,90,929,0,443,0
250,01/11/2019 10:00:00,2019-01-11 02:00:00,343.33,14,7592,2261,91,782,0,463,0
251,01/11/2019 11:00:00,2019-01-11 03:00:00,339.52,13,7519,2262,90,808,0,517,0
252,01/11/2019 12:00:00,2019-01-11 04:00:00,338.56,13,7814,2261,90,951,0,550,0
253,01/11/2019 13:00:00,2019-01-11 05:00:00,334.64,14,8355,2261,90,1189,0,724,0
254,01/11/2019 14:00:00,2019-01-11 06:00:00,355.19,17,10276,2263,90,1441,0,482,0
255,01/11/2019 15:00:00,2019-01-11 07:00:00,345.6,13,10626,2261,90,1933,129,474,0
256,01/11/2019 16:00:00,2019-01-11 08:00:00,305.65,17,9360,2263,90,1594,1817,618,0
257,01/11/2019 17:00:00,2019-01-11 09:00:00,257.46,14,8064,2263,91,1497,4024,645,0
258,01/11/2019 18:00:00,2019-01-11 10:00:00,238.33,14,7724,2263,90,1371,5350,654,0
259,01/11/2019 19:00:00,2019-01-11 11:00:00,221.53,14,6950,2263,90,1449,5780,627,0
260,01/11/2019 20:00:00,2019-01-11 12:00:00,218.87,15,6694,2263,91,1334,5705,689,0
261,01/11/2019 21:00:00,2019-01-11 13:00:00,212.29,12,6244,2262,91,1371,5382,944,0
262,01/11/2019 22:00:00,2019-01-11 14:00:00,231.74,16,6840,2262,89,1480,4343,895,0
263,01/11/2019 23:00:00,2019-01-11 15:00:00,244.34,14,7053,2263,91,1768,3352,832,0
264,01/12/2019 00:00:00,2019-01-11 16:00:00,279.06,11,8153,2261,88,2054,1731,841,0
265,01/12/2019 01:00:00,2019-01-11 17:00:00,312.5,12,9779,2262,91,2793,0,1024,0
266,01/12/2019 02:00:00,2019-01-11 18:00:00,315.89,11,10472,2262,91,2963,0,1007,0
267,01/12/2019 03:00:00,2019-01-11 19:00:00,310.75,13,10058,2261,91,2640,0,1387,0
268,01/12/2019 04:00:00,2019-01-11 20:00:00,307.92,11,9645,2263,90,2241,0,1648,0
