UTC time,Local time,nuclear,unknown,wind,hydro
2020-01-04 16:00:00,2020-01-04 17:00:00,7762,1773,6913,7276
2020-01-04 17:00:00,2020-01-04 18:00:00,7732,1740,6750,7591
2020-01-04 18:00:00,2020-01-04 19:00:00,7761,1735,6553,7406
2020-01-04 19:00:00,2020-01-04 20:00:00,7765,1719,6301,6675
2020-01-04 20:00:00,2020-01-04 21:00:00,7780,1691,5931,6486
2020-01-04 21:00:00,2020-01-04 22:00:00,7771,1666,5584,5909
2020-01-04 22:00:00,2020-01-04 23:00:00,7775,1649,5304,5333
2020-01-04 23:00:00,2020-01-05 00:00:00,7761,1650,5015,4926
2020-01-05 00:00:00,2020-01-05 01:00:00,7769,1631,4635,4819
2020-01-05 01:00:00,2020-01-05 02:00:00,7769,1621,4238,4805
2020-01-05 02:00:00,2020-01-05 03:00:00,7770,1621,3862,4951
2020-01-05 03:00:00,2020-01-05 04:00:00,7774,1618,3531,5228
2020-01-05 04:00:00,2020-01-05 05:00:00,7773,1634,3153,5644
2020-01-05 05:00:00,2020-01-05 06:00:00,7776,1654,2820,6361
2020-01-05 06:00:00,2020-01-05 07:00:00,7777,1667,2558,8102
2020-01-05 07:00:00,2020-01-05 08:00:00,7774,1665,2380,8851
2020-01-05 08:00:00,2020-01-05 09:00:00,7777,1668,2468,9410
2020-01-05 09:00:00,2020-01-05 10:00:00,7781,1664,2749,9580
2020-01-05 10:00:00,2020-01-05 11:00:00,7777,1692,3201,9539
2020-01-05 11:00:00,2020-01-05 12:00:00,7772,1709,3799,9351
2020-01-05 12:00:00,2020-01-05 13:00:00,7778,1705,4392,8980
2020-01-05 13:00:00,2020-01-05 14:00:00,7777,1676,4899,8835
2020-01-05 14:00:00,2020-01-05 15:00:00,7783,1714,5402,8819
2020-01-05 15:00:00,2020-01-05 16:00:00,7774,1721,5649,8978
2020-01-05 16:00:00,2020-01-05 17:00:00,7776,1740,5865,9263
2020-01-05 17:00:00,2020-01-05 18:00:00,7780,1745,6016,9018
2020-01-05 18:00:00,2020-01-05 19:00:00,7783,1747,6080,8744
2020-01-05 19:00:00,2020-01-05 20:00:00,7778,1708,5912,8219
2020-01-05 20:00:00,2020-01-05 21:00:00,7784,1686,5942,7687
2020-01-05 21:00:00,2020-01-05 22:00:00,7772,1720,5806,6351
2020-01-05 22:00:00,2020-01-05 23:00:00,7774,1739,5794,5449
2020-01-05 23:00:00,2020-01-06 00:00:00,7776,1880,5685,4881
2020-01-06 00:00:00,2020-01-06 01:00:00,7770,1830,5369,4647
2020-01-06 01:00:00,2020-01-06 02:00:00,7779,1819,5204,4679
2020-01-06 02:00:00,2020-01-06 03:00:00,7774,1809,5124,4765
2020-01-06 03:00:00,2020-01-06 04:00:00,7772,1801,4948,4882
2020-01-06 04:00:00,2020-01-06 05:00:00,7776,1841,4719,5678
2020-01-06 05:00:00,2020-01-06 06:00:00,7774,1864,4677,6242
2020-01-06 06:00:00,2020-01-06 07:00:00,7773,1912,4471,7460
2020-01-06 07:00:00,2020-01-06 08:00:00,7772,1980,4289,8401
2020-01-06 08:00:00,2020-01-06 09:00:00,7771,1971,4255,9257
2020-01-06 09:00:00,2020-01-06 10:00:00,7772,1983,3948,9421
2020-01-06 10:00:00,2020-01-06 11:00:00,7769,1973,3978,9365
2020-01-06 11:00:00,2020-01-06 12:00:00,7772,1949,3860,9364
2020-01-06 12:00:00,2020-01-06 13:00:00,7764,1955,3835,9359
2020-01-06 13:00:00,2020-01-06 14:00:00,7762,1938,3944,9369
2020-01-06 14:00:00,2020-01-06 15:00:00,7763,1946,4124,9451
2020-01-06 15:00:00,2020-01-06 16:00:00,7766,1954,4029,9592
2020-01-06 16:00:00,2020-01-06 17:00:00,7762,1944,4002,9850
2020-01-06 17:00:00,2020-01-06 18:00:00,7773,1936,3746,9599
2020-01-06 18:00:00,2020-01-06 19:00:00,7772,1920,3717,9270
2020-01-06 19:00:00,2020-01-06 20:00:00,7768,1885,3896,8873
2020-01-06 20:00:00,2020-01-06 21:00:00,7776,1858,4162,8278
2020-01-06 21:00:00,2020-01-06 22:00:00,7768,1830,4222,6925
2020-01-06 22:00:00,2020-01-06 23:00:00,7770,1817,4424,6149
2020-01-06 23:00:00,2020-01-07 00:00:00,7772,1771,4430,5537
2020-01-07 00:00:00,2020-01-07 01:00:00,7773,1783,4288,5002
2020-01-07 01:00:00,2020-01-07 02:00:00,7776,1776,4375,4941
2020-01-07 02:00:00,2020-01-07 03:00:00,7768,1780,4339,5005
2020-01-07 03:00:00,2020-01-07 04:00:00,7771,1784,4270,5244
2020-01-07 04:00:00,2020-01-07 05:00:00,7770,1810,4279,6983
2020-01-07 05:00:00,2020-01-07 06:00:00,7771,1849,4249,9211
2020-01-07 06:00:00,2020-01-07 07:00:00,7766,1899,4202,9854
2020-01-07 07:00:00,2020-01-07 08:00:00,7772,1924,4048,9974
2020-01-07 08:00:00,2020-01-07 09:00:00,7773,1905,4038,9994
2020-01-07 09:00:00,2020-01-07 10:00:00,7777,1918,3892,10084
2020-01-07 10:00:00,2020-01-07 11:00:00,7775,1910,3864,10175
2020-01-07 11:00:00,2020-01-07 12:00:00,7771,1910,3755,10215
2020-01-07 12:00:00,2020-01-07 13:00:00,7774,1909,3769,10252
2020-01-07 13:00:00,2020-01-07 14:00:00,7771,1912,3676,10276
2020-01-07 14:00:00,2020-01-07 15:00:00,7758,1875,3839,10306
2020-01-07 15:00:00,2020-01-07 16:00:00,7772,1890,4381,10238
2020-01-07 16:00:00,2020-01-07 17:00:00,7772,1902,4818,10038
2020-01-07 17:00:00,2020-01-07 18:00:00,7774,1900,5283,9848
2020-01-07 18:00:00,2020-01-07 19:00:00,7778,1881,5842,9279
2020-01-07 19:00:00,2020-01-07 20:00:00,7774,1847,6264,7900
2020-01-07 20:00:00,2020-01-07 21:00:00,7775,1819,6573,6772
2020-01-07 21:00:00,2020-01-07 22:00:00,7778,1792,6823,5946
2020-01-07 22:00:00,2020-01-07 23:00:00,7778,1768,7007,5049
2020-01-07 23:00:00,2020-01-08 00:00:00,7772,1718,7215,4290
2020-01-08 00:00:00,2020-01-08 01:00:00,7779,1683,7263,3497
2020-01-08 01:00:00,2020-01-08 02:00:00,7775,1666,7302,3204
2020-01-08 02:00:00,2020-01-08 03:00:00,7781,1669,7230,3230
2020-01-08 03:00:00,2020-01-08 04:00:00,7776,1674,7147,3444
2020-01-08 04:00:00,2020-01-08 05:00:00,7774,1689,7107,4600
2020-01-08 05:00:00,2020-01-08 06:00:00,7770,1785,7054,6348
2020-01-08 06:00:00,2020-01-08 07:00:00,7777,1835,7136,8114
2020-01-08 07:00:00,2020-01-08 08:00:00,7776,1878,6973,8841
2020-01-08 08:00:00,2020-01-08 09:00:00,7779,1898,6891,8631
2020-01-08 09:00:00,2020-01-08 10:00:00,7775,1848,6874,8713
2020-01-08 10:00:00,2020-01-08 11:00:00,7780,1851,6745,8767
2020-01-08 11:00:00,2020-01-08 12:00:00,7777,1842,6425,8914
2020-01-08 12:00:00,2020-01-08 13:00:00,7786,1845,6305,8909
2020-01-08 13:00:00,2020-01-08 14:00:00,7783,1837,6172,9194
2020-01-08 14:00:00,2020-01-08 15:00:00,7780,1841,6219,9341
2020-01-08 15:00:00,2020-01-08 16:00:00,7774,1839,6299,9336
2020-01-08 16:00:00,2020-01-08 17:00:00,7781,1853,6316,9192
2020-01-08 17:00:00,2020-01-08 18:00:00,7775,1858,6439,8966
2020-01-08 18:00:00,2020-01-08 19:00:00,7787,1843,6424,8749
2020-01-08 19:00:00,2020-01-08 20:00:00,7780,1837,6542,8289
2020-01-08 20:00:00,2020-01-08 21:00:00,7784,1815,6576,7598
2020-01-08 21:00:00,2020-01-08 22:00:00,7780,1758,6619,6528
2020-01-08 22:00:00,2020-01-08 23:00:00,7787,1699,6649,5571
2020-01-08 23:00:00,2020-01-09 00:00:00,7786,1637,6711,5328
2020-01-09 00:00:00,2020-01-09 01:00:00,7787,1638,6747,5047
2020-01-09 01:00:00,2020-01-09 02:00:00,7793,1626,6701,5060
2020-01-09 02:00:00,2020-01-09 03:00:00,7785,1631,6595,5206
2020-01-09 03:00:00,2020-01-09 04:00:00,7783,1638,6463,5443
2020-01-09 04:00:00,2020-01-09 05:00:00,7776,1711,6243,6520
2020-01-09 05:00:00,2020-01-09 06:00:00,7778,1753,6058,7854
2020-01-09 06:00:00,2020-01-09 07:00:00,7785,1834,5824,8445
2020-01-09 07:00:00,2020-01-09 08:00:00,7782,1855,5498,8744
2020-01-09 08:00:00,2020-01-09 09:00:00,7783,1865,5150,8897
2020-01-09 09:00:00,2020-01-09 10:00:00,7787,1833,4773,9004
2020-01-09 10:00:00,2020-01-09 11:00:00,7784,1806,4344,9011
2020-01-09 11:00:00,2020-01-09 12:00:00,7782,1788,4000,9160
2020-01-09 12:00:00,2020-01-09 13:00:00,7784,1797,3782,9358
2020-01-09 13:00:00,2020-01-09 14:00:00,7780,1781,3499,9522
2020-01-09 14:00:00,2020-01-09 15:00:00,7784,1779,3400,9719
2020-01-09 15:00:00,2020-01-09 16:00:00,7781,1774,3304,9745
2020-01-09 16:00:00,2020-01-09 17:00:00,7776,1753,3286,9968
2020-01-09 17:00:00,2020-01-09 18:00:00,7776,1764,3388,9827
2020-01-09 18:00:00,2020-01-09 19:00:00,7778,1749,3359,9847
2020-01-09 19:00:00,2020-01-09 20:00:00,7783,1716,3313,9757
2020-01-09 20:00:00,2020-01-09 21:00:00,7784,1703,3222,9395
2020-01-09 21:00:00,2020-01-09 22:00:00,7781,1642,3212,8407
2020-01-09 22:00:00,2020-01-09 23:00:00,7775,1610,3104,7681
2020-01-09 23:00:00,2020-01-10 00:00:00,7780,1626,3161,7748
2020-01-10 00:00:00,2020-01-10 01:00:00,7779,1593,3133,7270
2020-01-10 01:00:00,2020-01-10 02:00:00,7790,1585,3007,7337
2020-01-10 02:00:00,2020-01-10 03:00:00,7778,1586,3069,7678
2020-01-10 03:00:00,2020-01-10 04:00:00,7779,1601,2956,8365
2020-01-10 04:00:00,2020-01-10 05:00:00,7778,1640,2879,9800
2020-01-10 05:00:00,2020-01-10 06:00:00,7784,1716,2808,10695
2020-01-10 06:00:00,2020-01-10 07:00:00,7772,1752,2866,11145
2020-01-10 07:00:00,2020-01-10 08:00:00,7772,1782,2927,11083
2020-01-10 08:00:00,2020-01-10 09:00:00,7778,1810,2995,11087
2020-01-10 09:00:00,2020-01-10 10:00:00,7780,1823,3050,11123
2020-01-10 10:00:00,2020-01-10 11:00:00,7777,1823,2997,11099
2020-01-10 11:00:00,2020-01-10 12:00:00,7778,1795,2982,11071
2020-01-10 12:00:00,2020-01-10 13:00:00,7780,1778,2966,11056
2020-01-10 13:00:00,2020-01-10 14:00:00,7780,1778,2965,11062
2020-01-10 14:00:00,2020-01-10 15:00:00,7780,1799,3211,11071
2020-01-10 15:00:00,2020-01-10 16:00:00,7777,1831,3323,11047
2020-01-10 16:00:00,2020-01-10 17:00:00,7778,1867,3315,11019
2020-01-10 17:00:00,2020-01-10 18:00:00,7782,1850,3366,10644
2020-01-10 18:00:00,2020-01-10 19:00:00,7780,1847,3389,10680
2020-01-10 19:00:00,2020-01-10 20:00:00,7780,1842,3315,10605
2020-01-10 20:00:00,2020-01-10 21:00:00,7777,1801,3185,10490
2020-01-10 21:00:00,2020-01-10 22:00:00,7781,1743,3149,10191
2020-01-10 22:00:00,2020-01-10 23:00:00,7784,1703,2881,9471
2020-01-10 23:00:00,2020-01-11 00:00:00,7787,1675,2525,8993
2020-01-11 00:00:00,2020-01-11 01:00:00,7777,1663,2704,8525
2020-01-11 01:00:00,2020-01-11 02:00:00,7778,1657,2852,8186
2020-01-11 02:00:00,2020-01-11 03:00:00,7778,1646,3236,8005
2020-01-11 03:00:00,2020-01-11 04:00:00,7785,1630,3742,7942
2020-01-11 04:00:00,2020-01-11 05:00:00,7779,1633,4207,7840
2020-01-11 05:00:00,2020-01-11 06:00:00,7786,1636,4640,7955
2020-01-11 06:00:00,2020-01-11 07:00:00,7785,1667,4859,8202
2020-01-11 07:00:00,2020-01-11 08:00:00,7782,1688,5305,8273
2020-01-11 08:00:00,2020-01-11 09:00:00,7780,1752,5588,8367
2020-01-11 09:00:00,2020-01-11 10:00:00,7783,1775,5825,8294
2020-01-11 10:00:00,2020-01-11 11:00:00,7787,1806,6153,8054
2020-01-11 11:00:00,2020-01-11 12:00:00,7790,1808,6262,7611
2020-01-11 12:00:00,2020-01-11 13:00:00,7786,1797,6460,7382
2020-01-11 13:00:00,2020-01-11 14:00:00,7792,1802,6521,7371
2020-01-11 14:00:00,2020-01-11 15:00:00,7794,1805,6781,7493
2020-01-11 15:00:00,2020-01-11 16:00:00,7787,1829,6720,7814
2020-01-11 16:00:00,2020-01-11 17:00:00,7769,1848,6873,7918
2020-01-11 17:00:00,2020-01-11 18:00:00,7730,1850,6950,7739
2020-01-11 18:00:00,2020-01-11 19:00:00,7762,1858,6967,6649
2020-01-11 19:00:00,2020-01-11 20:00:00,7783,1843,6897,6383
2020-01-11 20:00:00,2020-01-11 21:00:00,7779,1795,6905,6054
2020-01-11 21:00:00,2020-01-11 22:00:00,7786,1748,6897,5307
2020-01-11 22:00:00,2020-01-11 23:00:00,7784,1739,6956,4985
2020-01-11 23:00:00,2020-01-12 00:00:00,7784,1699,6854,4655
2020-01-12 00:00:00,2020-01-12 01:00:00,7784,1686,6942,3673
2020-01-12 01:00:00,2020-01-12 02:00:00,7787,1676,6906,3531
2020-01-12 02:00:00,2020-01-12 03:00:00,7775,1683,6783,3506
2020-01-12 03:00:00,2020-01-12 04:00:00,7787,1679,6678,3511
2020-01-12 04:00:00,2020-01-12 05:00:00,7784,1691,6573,3552
2020-01-12 05:00:00,2020-01-12 06:00:00,7785,1702,6489,3776
2020-01-12 06:00:00,2020-01-12 07:00:00,7784,1735,6185,4162
2020-01-12 07:00:00,2020-01-12 08:00:00,7786,1749,6039,4766
2020-01-12 08:00:00,2020-01-12 09:00:00,7781,1780,5646,5145
2020-01-12 09:00:00,2020-01-12 10:00:00,7786,1797,5613,5613
2020-01-12 10:00:00,2020-01-12 11:00:00,7787,1808,5588,6020
2020-01-12 11:00:00,2020-01-12 12:00:00,7784,1814,5431,6300
2020-01-12 12:00:00,2020-01-12 13:00:00,7784,1801,5147,6397
2020-01-12 13:00:00,2020-01-12 14:00:00,7785,1825,4938,6764
2020-01-12 14:00:00,2020-01-12 15:00:00,7783,1814,4818,7333
2020-01-12 15:00:00,2020-01-12 16:00:00,7780,1847,4561,7853
2020-01-12 16:00:00,2020-01-12 17:00:00,7777,1896,4518,8688
2020-01-12 17:00:00,2020-01-12 18:00:00,7782,1881,4518,8765
2020-01-12 18:00:00,2020-01-12 19:00:00,7779,1866,4510,8268
2020-01-12 19:00:00,2020-01-12 20:00:00,7779,1861,4495,7758
2020-01-12 20:00:00,2020-01-12 21:00:00,7784,1865,4442,7586
2020-01-12 21:00:00,2020-01-12 22:00:00,7778,1836,4288,7380
2020-01-12 22:00:00,2020-01-12 23:00:00,7789,1814,4378,6624
2020-01-12 23:00:00,2020-01-13 00:00:00,7782,1827,4636,5685
2020-01-13 00:00:00,2020-01-13 01:00:00,7788,1776,4507,5711
2020-01-13 01:00:00,2020-01-13 02:00:00,7782,1753,4661,5725
2020-01-13 02:00:00,2020-01-13 03:00:00,7791,1721,4541,5834
2020-01-13 03:00:00,2020-01-13 04:00:00,7790,1741,4705,6176
2020-01-13 04:00:00,2020-01-13 05:00:00,7783,1785,4641,8380
2020-01-13 05:00:00,2020-01-13 06:00:00,7782,1843,4814,9212
2020-01-13 06:00:00,2020-01-13 07:00:00,7780,1911,4891,9435
2020-01-13 07:00:00,2020-01-13 08:00:00,7779,1925,4868,9813
2020-01-13 08:00:00,2020-01-13 09:00:00,7788,1954,4926,9812
2020-01-13 09:00:00,2020-01-13 10:00:00,7788,1969,4860,9853
2020-01-13 10:00:00,2020-01-13 11:00:00,7785,1970,4835,9796
2020-01-13 11:00:00,2020-01-13 12:00:00,7779,1963,4803,9726
2020-01-13 12:00:00,2020-01-13 13:00:00,7781,1963,4891,9771
2020-01-13 13:00:00,2020-01-13 14:00:00,7769,1956,4922,9777
2020-01-13 14:00:00,2020-01-13 15:00:00,7762,1950,4917,9907
2020-01-13 15:00:00,2020-01-13 16:00:00,7769,1953,4887,9911
2020-01-13 16:00:00,2020-01-13 17:00:00,7769,1952,4944,9920
2020-01-13 17:00:00,2020-01-13 18:00:00,7766,1945,4832,9834
2020-01-13 18:00:00,2020-01-13 19:00:00,7756,1907,4674,9816
2020-01-13 19:00:00,2020-01-13 20:00:00,7766,1870,4764,9666
2020-01-13 20:00:00,2020-01-13 21:00:00,7767,1834,4716,9481
2020-01-13 21:00:00,2020-01-13 22:00:00,7772,1813,4673,8674
2020-01-13 22:00:00,2020-01-13 23:00:00,7772,1793,4944,7079
2020-01-13 23:00:00,2020-01-14 00:00:00,7770,1788,5065,5762
2020-01-14 00:00:00,2020-01-14 01:00:00,7778,1780,5296,4660
2020-01-14 01:00:00,2020-01-14 02:00:00,7774,1779,5478,4358
2020-01-14 02:00:00,2020-01-14 03:00:00,7774,1811,5546,4317
2020-01-14 03:00:00,2020-01-14 04:00:00,7769,1850,5774,4499
2020-01-14 04:00:00,2020-01-14 05:00:00,7772,1916,6029,5715
2020-01-14 05:00:00,2020-01-14 06:00:00,7773,1931,6039,7905
2020-01-14 06:00:00,2020-01-14 07:00:00,7775,1982,6184,9432
2020-01-14 07:00:00,2020-01-14 08:00:00,7773,2025,6332,9771
2020-01-14 08:00:00,2020-01-14 09:00:00,7772,2035,6517,9828
2020-01-14 09:00:00,2020-01-14 10:00:00,7775,2066,6673,9860
2020-01-14 10:00:00,2020-01-14 11:00:00,7770,2070,6686,9758
2020-01-14 11:00:00,2020-01-14 12:00:00,7773,2047,6666,9761
2020-01-14 12:00:00,2020-01-14 13:00:00,7778,2013,6451,9709
2020-01-14 13:00:00,2020-01-14 14:00:00,7776,2011,6152,9877
2020-01-14 14:00:00,2020-01-14 15:00:00,7788,2021,6035,9979
2020-01-14 15:00:00,2020-01-14 16:00:00,7787,2024,5787,10184
2020-01-14 16:00:00,2020-01-14 17:00:00,7787,1999,5725,10236
2020-01-14 17:00:00,2020-01-14 18:00:00,7789,1993,5457,9966
2020-01-14 18:00:00,2020-01-14 19:00:00,7788,1992,5322,9787
2020-01-14 19:00:00,2020-01-14 20:00:00,7789,1959,5467,9123
2020-01-14 20:00:00,2020-01-14 21:00:00,7790,1925,5447,8018
2020-01-14 21:00:00,2020-01-14 22:00:00,7787,1900,5377,6713
2020-01-14 22:00:00,2020-01-14 23:00:00,7795,1844,5736,5417
2020-01-14 23:00:00,2020-01-15 00:00:00,7797,1803,5833,4285
2020-01-15 00:00:00,2020-01-15 01:00:00,7793,1792,5775,3717
2020-01-15 01:00:00,2020-01-15 02:00:00,7790,1775,5844,3717
2020-01-15 02:00:00,2020-01-15 03:00:00,7792,1781,5779,3688
2020-01-15 03:00:00,2020-01-15 04:00:00,7785,1806,5815,3933
2020-01-15 04:00:00,2020-01-15 05:00:00,7790,1811,5837,5571
2020-01-15 05:00:00,2020-01-15 06:00:00,7787,1867,5641,7654
2020-01-15 06:00:00,2020-01-15 07:00:00,7782,1893,5281,8890
2020-01-15 07:00:00,2020-01-15 08:00:00,7789,1942,5130,9496
2020-01-15 08:00:00,2020-01-15 09:00:00,7788,1934,4956,9432
2020-01-15 09:00:00,2020-01-15 10:00:00,7790,1939,4927,9364
2020-01-15 10:00:00,2020-01-15 11:00:00,7785,1918,4732,9069
2020-01-15 11:00:00,2020-01-15 12:00:00,7783,1904,4924,9253
2020-01-15 12:00:00,2020-01-15 13:00:00,7773,1869,4945,9332
2020-01-15 13:00:00,2020-01-15 14:00:00,7781,1863,4980,9522
2020-01-15 14:00:00,2020-01-15 15:00:00,7780,1873,4997,10097
2020-01-15 15:00:00,2020-01-15 16:00:00,7778,1882,4920,10123
2020-01-15 16:00:00,2020-01-15 17:00:00,7785,1906,4883,10189
2020-01-15 17:00:00,2020-01-15 18:00:00,7783,1895,4824,10066
2020-01-15 18:00:00,2020-01-15 19:00:00,7779,1897,4682,9957
2020-01-15 19:00:00,2020-01-15 20:00:00,7780,1870,4720,9188
2020-01-15 20:00:00,2020-01-15 21:00:00,7781,1867,4780,8903
2020-01-15 21:00:00,2020-01-15 22:00:00,7780,1832,4731,7987
2020-01-15 22:00:00,2020-01-15 23:00:00,7781,1801,4569,6722
2020-01-15 23:00:00,2020-01-16 00:00:00,7774,1759,4586,6000
2020-01-16 00:00:00,2020-01-16 01:00:00,7777,1739,4558,5555
2020-01-16 01:00:00,2020-01-16 02:00:00,7778,1730,4504,5509
2020-01-16 02:00:00,2020-01-16 03:00:00,7779,1756,4507,5561
2020-01-16 03:00:00,2020-01-16 04:00:00,7774,1772,4453,5772
2020-01-16 04:00:00,2020-01-16 05:00:00,7767,1816,4573,7158
2020-01-16 05:00:00,2020-01-16 06:00:00,7764,1842,4578,8549
2020-01-16 06:00:00,2020-01-16 07:00:00,7770,1896,4725,9586
