UTC Time,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Other,Wind Onshore
2019-01-07 03:00:00+00:00,88.0,437.0,0.0,83.0,14.0
2019-01-07 04:00:00+00:00,88.0,415.0,0.0,83.0,14.0
2019-01-07 05:00:00+00:00,88.0,413.0,0.0,83.0,13.0
2019-01-07 06:00:00+00:00,88.0,457.0,196.0,83.0,10.0
2019-01-07 07:00:00+00:00,87.0,426.0,352.0,83.0,11.0
2019-01-07 08:00:00+00:00,88.0,435.0,467.0,83.0,21.0
2019-01-07 09:00:00+00:00,88.0,433.0,356.0,83.0,20.0
2019-01-07 10:00:00+00:00,88.0,447.0,210.0,83.0,16.0
2019-01-07 11:00:00+00:00,86.0,365.0,273.0,83.0,18.0
2019-01-07 12:00:00+00:00,86.0,343.0,239.0,83.0,11.0
2019-01-07 13:00:00+00:00,87.0,340.0,180.0,83.0,7.0
2019-01-07 14:00:00+00:00,88.0,336.0,220.0,83.0,6.0
2019-01-07 15:00:00+00:00,89.0,335.0,363.0,84.0,7.0
2019-01-07 16:00:00+00:00,88.0,343.0,300.0,83.0,7.0
2019-01-07 17:00:00+00:00,88.0,355.0,167.0,83.0,10.0
2019-01-07 18:00:00+00:00,88.0,368.0,222.0,84.0,13.0
2019-01-07 19:00:00+00:00,86.0,383.0,7.0,84.0,16.0
2019-01-07 20:00:00+00:00,84.0,378.0,0.0,84.0,15.0
2019-01-07 21:00:00+00:00,83.0,345.0,0.0,84.0,23.0
2019-01-07 22:00:00+00:00,83.0,342.0,0.0,84.0,31.0
2019-01-07 23:00:00+00:00,83.0,387.0,0.0,84.0,34.0
2019-01-08 00:00:00+00:00,83.0,387.0,0.0,84.0,37.0
2019-01-08 01:00:00+00:00,83.0,381.0,4.0,84.0,35.0
2019-01-08 02:00:00+00:00,83.0,367.0,18.0,84.0,37.0
2019-01-08 03:00:00+00:00,83.0,369.0,18.0,83.0,37.0
2019-01-08 04:00:00+00:00,83.0,368.0,17.0,83.0,39.0
2019-01-08 05:00:00+00:00,84.0,380.0,10.0,83.0,32.0
2019-01-08 06:00:00+00:00,85.0,387.0,4.0,83.0,28.0
2019-01-08 07:00:00+00:00,86.0,383.0,140.0,82.0,29.0
2019-01-08 08:00:00+00:00,85.0,382.0,143.0,82.0,28.0
2019-01-08 09:00:00+00:00,87.0,390.0,143.0,82.0,27.0
2019-01-08 10:00:00+00:00,87.0,395.0,142.0,82.0,25.0
2019-01-08 11:00:00+00:00,87.0,400.0,141.0,83.0,20.0
2019-01-08 12:00:00+00:00,90.0,403.0,141.0,86.0,17.0
2019-01-08 13:00:00+00:00,89.0,402.0,141.0,84.0,15.0
2019-01-08 14:00:00+00:00,88.0,405.0,141.0,83.0,11.0
2019-01-08 15:00:00+00:00,88.0,434.0,130.0,83.0,7.0
2019-01-08 16:00:00+00:00,88.0,441.0,106.0,83.0,7.0
2019-01-08 17:00:00+00:00,88.0,443.0,101.0,83.0,6.0
2019-01-08 18:00:00+00:00,88.0,450.0,83.0,84.0,5.0
2019-01-08 19:00:00+00:00,89.0,449.0,81.0,85.0,4.0
2019-01-08 20:00:00+00:00,86.0,396.0,0.0,84.0,4.0
2019-01-08 21:00:00+00:00,86.0,384.0,0.0,84.0,3.0
2019-01-08 22:00:00+00:00,86.0,386.0,0.0,84.0,3.0
2019-01-08 23:00:00+00:00,86.0,426.0,0.0,84.0,2.0
2019-01-09 00:00:00+00:00,85.0,426.0,0.0,84.0,2.0
2019-01-09 01:00:00+00:00,86.0,426.0,0.0,84.0,0.0
2019-01-09 02:00:00+00:00,86.0,425.0,0.0,83.0,0.0
2019-01-09 03:00:00+00:00,86.0,426.0,0.0,83.0,0.0
2019-01-09 04:00:00+00:00,86.0,426.0,0.0,83.0,0.0
2019-01-09 05:00:00+00:00,88.0,455.0,45.0,83.0,0.0
2019-01-09 06:00:00+00:00,87.0,548.0,226.0,83.0,0.0
2019-01-09 07:00:00+00:00,87.0,574.0,216.0,83.0,0.0
2019-01-09 08:00:00+00:00,87.0,634.0,163.0,82.0,0.0
2019-01-09 09:00:00+00:00,87.0,707.0,65.0,83.0,0.0
2019-01-09 10:00:00+00:00,88.0,777.0,123.0,83.0,0.0
2019-01-09 11:00:00+00:00,88.0,795.0,118.0,83.0,0.0
2019-01-09 12:00:00+00:00,88.0,880.0,22.0,83.0,0.0
2019-01-09 13:00:00+00:00,88.0,891.0,19.0,83.0,1.0
2019-01-09 14:00:00+00:00,88.0,892.0,17.0,83.0,1.0
2019-01-09 15:00:00+00:00,88.0,892.0,95.0,83.0,1.0
2019-01-09 16:00:00+00:00,88.0,893.0,132.0,83.0,1.0
2019-01-09 17:00:00+00:00,88.0,891.0,17.0,84.0,1.0
2019-01-09 18:00:00+00:00,89.0,862.0,33.0,84.0,2.0
2019-01-09 19:00:00+00:00,89.0,689.0,185.0,85.0,1.0
2019-01-09 20:00:00+00:00,88.0,520.0,0.0,84.0,0.0
2019-01-09 21:00:00+00:00,88.0,479.0,0.0,84.0,2.0
2019-01-09 22:00:00+00:00,87.0,481.0,0.0,84.0,4.0
2019-01-09 23:00:00+00:00,86.0,480.0,0.0,84.0,5.0
2019-01-10 00:00:00+00:00,86.0,479.0,0.0,83.0,6.0
2019-01-10 01:00:00+00:00,86.0,481.0,0.0,83.0,6.0
2019-01-10 02:00:00+00:00,86.0,481.0,0.0,83.0,2.0
2019-01-10 03:00:00+00:00,86.0,481.0,0.0,83.0,2.0
2019-01-10 04:00:00+00:00,87.0,481.0,0.0,82.0,2.0
2019-01-10 05:00:00+00:00,87.0,493.0,24.0,82.0,2.0
2019-01-10 06:00:00+00:00,87.0,700.0,229.0,82.0,4.0
2019-01-10 07:00:00+00:00,86.0,887.0,507.0,82.0,2.0
2019-01-10 08:00:00+00:00,86.0,915.0,607.0,82.0,1.0
2019-01-10 09:00:00+00:00,86.0,915.0,501.0,82.0,1.0
2019-01-10 10:00:00+00:00,87.0,914.0,376.0,82.0,1.0
2019-01-10 11:00:00+00:00,84.0,903.0,228.0,82.0,0.0
2019-01-10 12:00:00+00:00,78.0,902.0,176.0,83.0,0.0
2019-01-10 13:00:00+00:00,84.0,914.0,223.0,83.0,0.0
2019-01-10 14:00:00+00:00,88.0,914.0,241.0,84.0,0.0
2019-01-10 15:00:00+00:00,88.0,914.0,218.0,84.0,0.0
2019-01-10 16:00:00+00:00,89.0,910.0,236.0,84.0,0.0
2019-01-10 17:00:00+00:00,89.0,814.0,277.0,84.0,0.0
2019-01-10 18:00:00+00:00,89.0,712.0,328.0,85.0,1.0
2019-01-10 19:00:00+00:00,89.0,604.0,263.0,85.0,6.0
2019-01-10 20:00:00+00:00,89.0,487.0,0.0,85.0,13.0
2019-01-10 21:00:00+00:00,89.0,480.0,0.0,85.0,17.0
2019-01-10 22:00:00+00:00,89.0,482.0,0.0,85.0,24.0
2019-01-10 23:00:00+00:00,89.0,500.0,0.0,85.0,24.0
2019-01-11 00:00:00+00:00,88.0,500.0,0.0,84.0,26.0
2019-01-11 01:00:00+00:00,88.0,500.0,0.0,84.0,28.0
2019-01-11 02:00:00+00:00,87.0,500.0,0.0,84.0,33.0
2019-01-11 03:00:00+00:00,86.0,499.0,0.0,83.0,29.0
2019-01-11 04:00:00+00:00,87.0,499.0,0.0,83.0,34.0
2019-01-11 05:00:00+00:00,87.0,463.0,34.0,83.0,45.0
2019-01-11 06:00:00+00:00,87.0,390.0,102.0,82.0,52.0
2019-01-11 07:00:00+00:00,87.0,350.0,170.0,82.0,51.0
2019-01-11 08:00:00+00:00,87.0,347.0,199.0,82.0,52.0
2019-01-11 09:00:00+00:00,87.0,347.0,201.0,82.0,48.0
2019-01-11 10:00:00+00:00,87.0,342.0,189.0,82.0,44.0
2019-01-11 11:00:00+00:00,87.0,339.0,180.0,82.0,29.0
2019-01-11 12:00:00+00:00,87.0,351.0,171.0,83.0,17.0
2019-01-11 13:00:00+00:00,87.0,360.0,47.0,82.0,8.0
2019-01-11 14:00:00+00:00,90.0,375.0,25.0,86.0,5.0
2019-01-11 15:00:00+00:00,89.0,384.0,184.0,85.0,9.0
2019-01-11 16:00:00+00:00,87.0,390.0,173.0,86.0,15.0
2019-01-11 17:00:00+00:00,85.0,395.0,54.0,85.0,17.0
2019-01-11 18:00:00+00:00,85.0,388.0,27.0,85.0,17.0
2019-01-11 19:00:00+00:00,85.0,372.0,5.0,86.0,18.0
2019-01-11 20:00:00+00:00,84.0,331.0,30.0,83.0,18.0
2019-01-11 21:00:00+00:00,83.0,327.0,35.0,83.0,23.0
2019-01-11 22:00:00+00:00,83.0,333.0,35.0,83.0,20.0
2019-01-11 23:00:00+00:00,83.0,323.0,0.0,83.0,21.0
2019-01-12 00:00:00+00:00,83.0,294.0,0.0,83.0,23.0
2019-01-12 01:00:00+00:00,83.0,292.0,0.0,83.0,20.0
2019-01-12 02:00:00+00:00,84.0,291.0,0.0,83.0,17.0
2019-01-12 03:00:00+00:00,85.0,290.0,0.0,83.0,13.0
2019-01-12 04:00:00+00:00,85.0,292.0,0.0,82.0,12.0
2019-01-12 05:00:00+00:00,87.0,291.0,0.0,82.0,10.0
2019-01-12 06:00:00+00:00,86.0,305.0,0.0,82.0,10.0
2019-01-12 07:00:00+00:00,85.0,321.0,0.0,81.0,8.0
2019-01-12 08:00:00+00:00,84.0,322.0,0.0,81.0,10.0
2019-01-12 09:00:00+00:00,85.0,321.0,0.0,82.0,9.0
2019-01-12 10:00:00+00:00,85.0,322.0,0.0,82.0,10.0
2019-01-12 11:00:00+00:00,83.0,322.0,0.0,82.0,15.0
2019-01-12 12:00:00+00:00,82.0,322.0,0.0,81.0,16.0
2019-01-12 13:00:00+00:00,82.0,322.0,0.0,82.0,14.0
2019-01-12 14:00:00+00:00,83.0,321.0,0.0,82.0,11.0
2019-01-12 15:00:00+00:00,83.0,321.0,0.0,82.0,7.0
2019-01-12 16:00:00+00:00,84.0,321.0,0.0,82.0,6.0
2019-01-12 17:00:00+00:00,84.0,321.0,0.0,83.0,2.0
2019-01-12 18:00:00+00:00,86.0,321.0,0.0,83.0,1.0
2019-01-12 19:00:00+00:00,83.0,321.0,0.0,83.0,2.0
2019-01-12 20:00:00+00:00,83.0,321.0,0.0,83.0,1.0
2019-01-12 21:00:00+00:00,83.0,320.0,0.0,84.0,1.0
2019-01-12 22:00:00+00:00,83.0,322.0,0.0,84.0,1.0
2019-01-12 23:00:00+00:00,84.0,344.0,0.0,84.0,3.0
2019-01-13 00:00:00+00:00,84.0,346.0,0.0,84.0,2.0
2019-01-13 01:00:00+00:00,84.0,346.0,0.0,84.0,1.0
2019-01-13 02:00:00+00:00,84.0,345.0,0.0,84.0,1.0
2019-01-13 03:00:00+00:00,83.0,345.0,0.0,84.0,2.0
2019-01-13 04:00:00+00:00,86.0,346.0,0.0,83.0,2.0
2019-01-13 05:00:00+00:00,86.0,345.0,0.0,83.0,2.0
2019-01-13 06:00:00+00:00,86.0,345.0,0.0,83.0,1.0
2019-01-13 07:00:00+00:00,85.0,345.0,0.0,82.0,1.0
2019-01-13 08:00:00+00:00,85.0,300.0,38.0,82.0,2.0
2019-01-13 09:00:00+00:00,84.0,278.0,86.0,82.0,3.0
2019-01-13 10:00:00+00:00,83.0,333.0,31.0,82.0,3.0
2019-01-13 11:00:00+00:00,81.0,341.0,18.0,82.0,6.0
2019-01-13 12:00:00+00:00,80.0,298.0,62.0,82.0,10.0
2019-01-13 13:00:00+00:00,81.0,290.0,71.0,84.0,10.0
2019-01-13 14:00:00+00:00,82.0,298.0,67.0,84.0,7.0
2019-01-13 15:00:00+00:00,82.0,311.0,61.0,84.0,8.0
2019-01-13 16:00:00+00:00,82.0,323.0,31.0,84.0,9.0
2019-01-13 17:00:00+00:00,82.0,327.0,16.0,84.0,10.0
2019-01-13 18:00:00+00:00,82.0,338.0,18.0,84.0,8.0
2019-01-13 19:00:00+00:00,83.0,331.0,18.0,85.0,9.0
2019-01-13 20:00:00+00:00,83.0,323.0,18.0,85.0,14.0
2019-01-13 21:00:00+00:00,84.0,308.0,18.0,85.0,10.0
2019-01-13 22:00:00+00:00,84.0,225.0,2.0,85.0,4.0
2019-01-13 23:00:00+00:00,83.0,221.0,0.0,85.0,3.0
2019-01-14 00:00:00+00:00,82.0,220.0,0.0,83.0,3.0
2019-01-14 01:00:00+00:00,79.0,221.0,0.0,80.0,14.0
2019-01-14 02:00:00+00:00,78.0,221.0,0.0,79.0,12.0
2019-01-14 03:00:00+00:00,78.0,225.0,0.0,78.0,9.0
2019-01-14 04:00:00+00:00,84.0,267.0,84.0,84.0,18.0
2019-01-14 05:00:00+00:00,84.0,337.0,27.0,84.0,25.0
2019-01-14 06:00:00+00:00,84.0,345.0,1.0,83.0,39.0
2019-01-14 07:00:00+00:00,83.0,344.0,0.0,83.0,45.0
2019-01-14 08:00:00+00:00,83.0,345.0,168.0,83.0,42.0
2019-01-14 09:00:00+00:00,83.0,345.0,158.0,83.0,41.0
2019-01-14 10:00:00+00:00,83.0,346.0,179.0,83.0,40.0
2019-01-14 11:00:00+00:00,84.0,388.0,45.0,83.0,41.0
2019-01-14 12:00:00+00:00,84.0,430.0,13.0,83.0,38.0
2019-01-14 13:00:00+00:00,85.0,479.0,0.0,85.0,38.0
2019-01-14 14:00:00+00:00,85.0,480.0,78.0,85.0,39.0
2019-01-14 15:00:00+00:00,86.0,478.0,352.0,85.0,37.0
2019-01-14 16:00:00+00:00,86.0,456.0,336.0,85.0,26.0
2019-01-14 17:00:00+00:00,87.0,480.0,185.0,85.0,23.0
2019-01-14 18:00:00+00:00,87.0,480.0,375.0,85.0,21.0
2019-01-14 19:00:00+00:00,89.0,484.0,179.0,85.0,16.0
2019-01-14 20:00:00+00:00,90.0,378.0,0.0,85.0,39.0
2019-01-14 21:00:00+00:00,90.0,278.0,45.0,86.0,39.0
2019-01-14 22:00:00+00:00,90.0,229.0,1.0,86.0,36.0
2019-01-14 23:00:00+00:00,90.0,231.0,0.0,86.0,33.0
2019-01-15 00:00:00+00:00,89.0,231.0,0.0,85.0,29.0
2019-01-15 01:00:00+00:00,89.0,237.0,0.0,85.0,30.0
2019-01-15 02:00:00+00:00,88.0,315.0,0.0,85.0,38.0
2019-01-15 03:00:00+00:00,87.0,401.0,0.0,85.0,33.0
2019-01-15 04:00:00+00:00,86.0,395.0,0.0,85.0,40.0
2019-01-15 05:00:00+00:00,86.0,384.0,0.0,84.0,39.0
2019-01-15 06:00:00+00:00,88.0,391.0,0.0,84.0,39.0
2019-01-15 07:00:00+00:00,88.0,443.0,1.0,84.0,39.0
2019-01-15 08:00:00+00:00,88.0,446.0,156.0,84.0,38.0
2019-01-15 09:00:00+00:00,88.0,427.0,265.0,84.0,31.0
2019-01-15 10:00:00+00:00,86.0,405.0,180.0,84.0,21.0
2019-01-15 11:00:00+00:00,86.0,368.0,51.0,85.0,30.0
2019-01-15 12:00:00+00:00,85.0,354.0,95.0,85.0,27.0
2019-01-15 13:00:00+00:00,85.0,363.0,70.0,84.0,29.0
2019-01-15 14:00:00+00:00,86.0,384.0,133.0,84.0,22.0
2019-01-15 15:00:00+00:00,88.0,395.0,398.0,85.0,17.0
2019-01-15 16:00:00+00:00,89.0,403.0,491.0,85.0,21.0
2019-01-15 17:00:00+00:00,89.0,407.0,380.0,85.0,12.0
2019-01-15 18:00:00+00:00,98.0,395.0,91.0,99.0,8.0
2019-01-15 19:00:00+00:00,98.0,405.0,2.0,99.0,9.0
2019-01-15 20:00:00+00:00,86.0,400.0,0.0,85.0,8.0
2019-01-15 21:00:00+00:00,86.0,399.0,0.0,85.0,8.0
2019-01-15 22:00:00+00:00,86.0,409.0,0.0,85.0,9.0
2019-01-15 23:00:00+00:00,84.0,408.0,0.0,85.0,9.0
2019-01-16 00:00:00+00:00,83.0,405.0,0.0,85.0,9.0
2019-01-16 01:00:00+00:00,86.0,399.0,0.0,86.0,7.0
2019-01-16 02:00:00+00:00,86.0,387.0,0.0,85.0,5.0
2019-01-16 03:00:00+00:00,87.0,391.0,0.0,86.0,6.0
2019-01-16 04:00:00+00:00,88.0,403.0,2.0,85.0,5.0
2019-01-16 05:00:00+00:00,89.0,462.0,80.0,85.0,4.0
2019-01-16 06:00:00+00:00,89.0,472.0,553.0,85.0,3.0
2019-01-16 07:00:00+00:00,88.0,521.0,443.0,84.0,2.0
2019-01-16 08:00:00+00:00,88.0,522.0,482.0,84.0,1.0
2019-01-16 09:00:00+00:00,88.0,524.0,454.0,83.0,1.0
2019-01-16 10:00:00+00:00,88.0,524.0,448.0,83.0,3.0
2019-01-16 11:00:00+00:00,88.0,524.0,444.0,84.0,3.0
2019-01-16 12:00:00+00:00,88.0,524.0,533.0,84.0,3.0
2019-01-16 13:00:00+00:00,88.0,493.0,500.0,83.0,6.0
2019-01-16 14:00:00+00:00,89.0,493.0,479.0,84.0,8.0
