,UTC time,carbon_intensity,biomass,coal,nat_gas,geothermal,hydro,nuclear,oil,solar,wind,unknown
13178,2021-07-03 02:00:00+00:00,440.41,20730,61685,14898,74,8804,26590,1661,0,12656,1468
13179,2021-07-03 03:00:00+00:00,447.01,20760,62202,14597,76,9106,26601,1656,57,10441,1468
13180,2021-07-03 04:00:00+00:00,445.39,20847,62967,15084,76,8683,26622,1658,2484,9811,1469
13181,2021-07-03 05:00:00+00:00,420.07,20818,62968,15066,76,8697,26636,1656,13871,8621,1470
13182,2021-07-03 06:00:00+00:00,380.81,20880,63139,15264,72,8511,26604,1657,35525,6378,1468
13183,2021-07-03 07:00:00+00:00,337.53,20958,63495,13678,68,8800,25742,1662,63302,5638,1468
13184,2021-07-03 08:00:00+00:00,303.07,20970,63572,13268,68,8833,25583,1656,89837,6347,1468
13185,2021-07-03 09:00:00+00:00,285.7,21154,64401,13024,62,8813,25563,1658,107843,6659,1468
13186,2021-07-03 10:00:00+00:00,275.86,21127,64396,12584,56,8654,25532,1656,117730,7173,1468
13187,2021-07-03 11:00:00+00:00,266.92,21202,62269,11992,56,8827,25512,1659,122276,7056,1463
13188,2021-07-03 12:00:00+00:00,263.8,21125,60845,11572,52,9272,25573,1657,122115,6450,1465
13189,2021-07-03 13:00:00+00:00,275.31,21085,62279,11779,52,9046,25956,1657,113706,5426,1469
13190,2021-07-03 14:00:00+00:00,293.11,21068,63527,12545,52,8860,26208,1656,99632,4663,1468
13191,2021-07-03 15:00:00+00:00,320.54,20950,65391,13715,56,8846,26220,1660,80194,4413,1468
13192,2021-07-03 16:00:00+00:00,360.34,20943,67204,18092,60,9087,26280,1658,56487,4131,1468
13193,2021-07-03 17:00:00+00:00,404.9,20945,67764,21494,60,9293,26285,1659,32347,4072,1468
13194,2021-07-03 18:00:00+00:00,446.29,21038,68222,22152,64,9144,26305,1657,13791,4069,1441
13195,2021-07-03 19:00:00+00:00,471.74,21130,68123,22414,64,9258,26404,1661,3483,4016,1432
13196,2021-07-03 20:00:00+00:00,480.14,21160,68085,22501,66,8778,26396,1666,120,4742,1435
13197,2021-07-03 21:00:00+00:00,476.06,21191,67688,22304,67,8781,26424,1668,0,5867,1436
13198,2021-07-03 22:00:00+00:00,468.67,21265,66433,20479,68,8866,26366,1663,0,7266,1446
13199,2021-07-03 23:00:00+00:00,461.17,21210,64526,17353,68,8956,26335,1664,0,8098,1476
13200,2021-07-04 00:00:00+00:00,417.89,21234,63833,15012,72,8526,26367,1662,0,23293,1484
13201,2021-07-04 01:00:00+00:00,455.86,21164,60455,15500,71,8865,26358,1664,0,6467,1424
13202,2021-07-04 02:00:00+00:00,458.7,21142,60530,15518,72,8814,26357,1664,0,5689,1424
13203,2021-07-04 03:00:00+00:00,461.21,21080,61650,15708,72,8778,26367,1658,68,5797,1424
13204,2021-07-04 04:00:00+00:00,457.98,20991,61930,16204,72,8678,25576,1656,2122,6126,1427
13205,2021-07-04 05:00:00+00:00,439.84,20689,62110,16306,71,8566,25089,1656,10845,5131,1424
13206,2021-07-04 06:00:00+00:00,404.56,21050,61887,16405,68,8398,25625,1656,27176,3084,1424
13207,2021-07-04 07:00:00+00:00,361.74,21170,60961,16170,68,8438,26399,1656,49212,1390,1424
13208,2021-07-04 08:00:00+00:00,325.36,21201,60600,13941,68,8528,26400,1656,71892,958,1424
13209,2021-07-04 09:00:00+00:00,303,21269,59870,12579,67,8259,26350,1656,87472,1150,1424
13210,2021-07-04 10:00:00+00:00,291.47,21289,58992,12461,64,8574,26336,1656,94556,1944,1424
13211,2021-07-04 11:00:00+00:00,290.03,21250,58468,13384,64,8693,26292,1656,93729,3449,1425
13212,2021-07-04 12:00:00+00:00,283.58,21245,56050,12680,62,8540,26249,1656,91427,5769,1425
13213,2021-07-04 13:00:00+00:00,283.65,21234,54452,12175,63,8432,26226,1656,84599,8286,1424
13214,2021-07-04 14:00:00+00:00,291.94,21101,53721,12663,60,8423,26196,1656,71649,12259,1424
13215,2021-07-04 15:00:00+00:00,316.1,21010,57247,12928,64,8720,26192,1656,57571,13921,1424
13216,2021-07-04 16:00:00+00:00,361.17,21035,64050,13688,64,8877,26257,1656,38855,13952,1424
13217,2021-07-04 17:00:00+00:00,400.44,21090,69202,14759,66,8882,26243,1656,23883,14253,1424
13218,2021-07-04 18:00:00+00:00,420.39,21102,71147,15932,71,8878,26265,1656,11171,19136,1424
13219,2021-07-04 19:00:00+00:00,443.3,21220,72284,17195,72,8907,26413,1657,3195,18012,1426
13220,2021-07-04 20:00:00+00:00,442.94,21304,72821,17571,72,9181,26419,1656,130,21171,1424
13221,2021-07-04 21:00:00+00:00,435.51,21479,72796,18905,72,9006,26400,1656,0,24550,1424
13222,2021-07-04 22:00:00+00:00,422.44,21509,70015,17956,72,8750,26399,1659,0,27556,1444
13223,2021-07-04 23:00:00+00:00,411.16,21336,66563,15628,72,8426,26345,1664,0,29007,1504
13224,2021-07-05 00:00:00+00:00,389.93,21243,63062,14501,69,9079,26381,1694,0,33688,1507
13225,2021-07-05 01:00:00+00:00,408.68,21218,63821,15636,72,8256,26395,1661,0,27400,1504
13226,2021-07-05 02:00:00+00:00,408.29,21156,63302,15094,72,8291,26389,1664,0,26918,1504
13227,2021-07-05 03:00:00+00:00,410.53,21109,63854,15398,72,8401,26411,1664,53,26468,1504
13228,2021-07-05 04:00:00+00:00,417.21,21019,66956,17744,72,8708,26496,1664,2032,25098,1504
13229,2021-07-05 05:00:00+00:00,422.63,20909,72292,23566,72,9281,26528,1666,10490,20653,1504
13230,2021-07-05 06:00:00+00:00,413.3,21102,75230,27821,70,9638,26501,1664,23457,16491,1504
13231,2021-07-05 07:00:00+00:00,392.57,21189,76817,28266,68,9682,26502,1664,39014,15186,1504
13232,2021-07-05 08:00:00+00:00,370,21194,77199,27913,68,9342,26498,1669,51670,18249,1504
13233,2021-07-05 09:00:00+00:00,357.4,21092,77204,28280,65,9114,26468,1698,60670,19155,1504
13234,2021-07-05 10:00:00+00:00,344.46,21199,77226,28176,64,9558,26445,1706,67720,21892,1504
13235,2021-07-05 11:00:00+00:00,332.29,21392,75948,27177,61,9020,26374,1704,71102,26644,1506
13236,2021-07-05 12:00:00+00:00,319.69,21323,73047,26493,56,9243,26367,1704,73214,30156,1504
13237,2021-07-05 13:00:00+00:00,323.17,21420,72778,26365,56,9476,26411,1703,70576,28775,1504
13238,2021-07-05 14:00:00+00:00,330.65,21357,72681,27731,56,9577,26367,1704,67102,26319,1504
13239,2021-07-05 15:00:00+00:00,339.6,21243,72761,26961,56,9763,26360,1704,60887,24592,1504
13240,2021-07-05 16:00:00+00:00,365.11,21228,73704,27800,56,9577,26346,1707,48347,19930,1504
13241,2021-07-05 17:00:00+00:00,406.58,21233,76054,29751,59,9557,26349,1704,31250,14301,1504
13242,2021-07-05 18:00:00+00:00,448.92,21318,77797,30101,64,9627,26384,1704,14275,10841,1505
13243,2021-07-05 19:00:00+00:00,475.75,21200,77924,29864,64,9543,26383,1704,3425,9955,1505
13244,2021-07-05 20:00:00+00:00,481.01,21370,77626,29513,67,9410,26404,1704,113,10786,1504
13245,2021-07-05 21:00:00+00:00,472.34,21262,76763,28612,68,9257,26413,1704,0,13755,1504
13246,2021-07-05 22:00:00+00:00,445.65,21295,72437,22106,68,9006,26381,1704,0,20629,1487
13247,2021-07-05 23:00:00+00:00,409.63,21301,66774,14348,68,9215,26352,1704,0,28844,1436
13248,2021-07-06 00:00:00+00:00,348.96,19376,60927,12442,59,9048,26373,1674,0,51365,1571
13249,2021-07-06 01:00:00+00:00,350.72,19679,56808,12849,68,9350,26402,1704,0,44422,1508
13250,2021-07-06 02:00:00+00:00,331.27,19648,55284,12270,68,9252,26401,1704,0,52405,1508
13251,2021-07-06 03:00:00+00:00,321.9,19557,56397,12412,69,9142,26399,1703,53,59732,1508
13252,2021-07-06 04:00:00+00:00,312.91,19253,59456,12756,72,9056,26362,1692,2242,68834,1471
13253,2021-07-06 05:00:00+00:00,306.42,19282,64294,13859,68,9035,26428,1677,12957,72799,1466
13254,2021-07-06 06:00:00+00:00,293.93,19382,66592,15000,67,9155,26368,1676,33655,69362,1464
13255,2021-07-06 07:00:00+00:00,275.93,19396,67372,15488,63,9189,25784,1677,57570,67545,1456
13256,2021-07-06 08:00:00+00:00,251.72,19360,64220,15244,60,9088,25211,1677,78072,69637,1458
13257,2021-07-06 09:00:00+00:00,229.91,19403,59685,14899,59,8577,24872,1678,89026,76891,1466
13258,2021-07-06 10:00:00+00:00,214.35,19453,55619,14844,56,8559,24368,1673,93899,83948,1510
13259,2021-07-06 11:00:00+00:00,199.78,19433,50111,14316,53,8744,24237,1664,96148,86807,1591
13260,2021-07-06 12:00:00+00:00,197.52,19308,47505,14168,52,9327,24602,1664,93079,83153,1596
13261,2021-07-06 13:00:00+00:00,202.47,19267,48350,14042,52,9086,24504,1726,82316,87375,1588
13262,2021-07-06 14:00:00+00:00,221.11,19211,52703,13647,47,9333,24702,1665,67677,85434,1599
13263,2021-07-06 15:00:00+00:00,245.03,20236,58617,14957,44,9434,25236,1664,50877,86808,1608
13264,2021-07-06 16:00:00+00:00,272.85,20474,62734,15592,48,9820,26019,1734,34100,80815,1608
13265,2021-07-06 17:00:00+00:00,304.36,20603,67955,17067,44,9281,26162,1664,20758,75813,1608
13266,2021-07-06 18:00:00+00:00,333.02,20653,70745,18486,44,8915,26201,1664,9213,69908,1608
13267,2021-07-06 19:00:00+00:00,348.73,20283,70907,17987,44,9351,26237,1664,2401,65142,1608
13268,2021-07-06 20:00:00+00:00,351.59,19514,70426,17561,49,8929,26333,1664,224,65039,1608
13269,2021-07-06 21:00:00+00:00,349.32,19562,69255,17064,54,9207,26147,1664,0,64721,1608
13270,2021-07-06 22:00:00+00:00,342.58,19762,66570,13874,56,8708,25903,1664,0,64343,1611
13271,2021-07-06 23:00:00+00:00,340.39,19055,62683,11994,56,8922,26314,1664,0,58808,1620
13272,2021-07-07 00:00:00+00:00,428.64,19032,68701,22450,65,8845,26369,1667,0,25494,1418
13273,2021-07-07 01:00:00+00:00,344.85,19071,60191,11617,56,9049,26376,1664,0,52326,1592
13274,2021-07-07 02:00:00+00:00,351.34,18968,60029,11554,56,9075,26458,1664,0,48537,1592
13275,2021-07-07 03:00:00+00:00,364.9,18908,61429,11996,58,8992,26465,1664,21,43751,1592
13276,2021-07-07 04:00:00+00:00,383.4,18885,66068,14515,59,9039,26464,1664,740,40533,1592
13277,2021-07-07 05:00:00+00:00,405.47,18968,73616,23205,60,8835,26485,1664,4243,37218,1592
13278,2021-07-07 06:00:00+00:00,407.8,19082,77190,28552,67,9485,26490,1664,12436,32708,1592
13279,2021-07-07 07:00:00+00:00,401.91,19148,78293,28861,68,9414,26483,1664,24654,26001,1592
13280,2021-07-07 08:00:00+00:00,382.34,19135,78609,29777,68,8727,26352,1664,40178,24725,1592
13281,2021-07-07 09:00:00+00:00,360.1,19292,78134,28774,54,8788,25808,1664,54993,25501,1592
13282,2021-07-07 10:00:00+00:00,346.22,19176,77820,29204,52,9389,25791,1664,64616,26200,1592
13283,2021-07-07 11:00:00+00:00,333.42,19193,77103,29323,52,9487,25864,1665,73149,27518,1592
13284,2021-07-07 12:00:00+00:00,322.89,19085,75477,28249,61,8924,26213,1664,79375,27961,1592
13285,2021-07-07 13:00:00+00:00,313.95,19066,73468,24699,64,8976,25808,1664,81276,29135,1592
13286,2021-07-07 14:00:00+00:00,321.46,19076,72937,22871,64,8929,24086,1666,77338,26130,1592
13287,2021-07-07 15:00:00+00:00,339.6,18965,73243,24821,64,8908,24130,1666,66380,23248,1592
13288,2021-07-07 16:00:00+00:00,372.17,18984,76423,26243,64,9280,24138,1664,51664,18700,1592
13289,2021-07-07 17:00:00+00:00,415.42,19581,79768,27894,64,8938,24340,1664,32569,15230,1592
13290,2021-07-07 18:00:00+00:00,456.01,18912,80481,27991,64,9214,26004,1664,14537,11583,1592
13291,2021-07-07 19:00:00+00:00,484.43,18985,80957,28185,64,8883,26360,1664,3830,10260,1592
13292,2021-07-07 20:00:00+00:00,486.93,18960,80559,28258,68,9018,26391,1664,130,12314,1592
13293,2021-07-07 21:00:00+00:00,481.04,18967,80218,27630,68,8985,26388,1664,0,14451,1592
13294,2021-07-07 22:00:00+00:00,471.69,19079,77180,27903,68,9033,26378,1664,0,15694,1534
13295,2021-07-07 23:00:00+00:00,462.12,19020,73224,27814,68,8780,26392,1664,0,16508,1360
13296,2021-07-08 00:00:00+00:00,454.08,18849,70106,24655,62,9232,26462,1683,0,16437,1354
13297,2021-07-08 01:00:00+00:00,457.31,19023,70788,24143,68,8695,26427,1664,0,16190,1360
13298,2021-07-08 02:00:00+00:00,461.32,18913,71016,25019,68,8528,26417,1664,0,15155,1360
13299,2021-07-08 03:00:00+00:00,464.65,18727,71543,25955,68,9153,26442,1666,42,13813,1360
13300,2021-07-08 04:00:00+00:00,471.07,18752,74159,27392,68,8636,26332,1674,1569,12690,1360
13301,2021-07-08 05:00:00+00:00,475.41,18733,79787,28438,68,8906,25468,1676,8076,9863,1360
13302,2021-07-08 06:00:00+00:00,458.54,18814,82041,29393,68,9297,26199,1674,18740,7624,1360
13303,2021-07-08 07:00:00+00:00,436.98,18866,81976,29819,68,9399,26495,1674,31155,5654,1360
13304,2021-07-08 08:00:00+00:00,414.42,18915,81725,29846,68,9007,26462,1700,44607,5037,1360
13305,2021-07-08 09:00:00+00:00,399.07,18936,81664,30004,68,9283,26427,1677,54679,4217,1360
13306,2021-07-08 10:00:00+00:00,391.86,18968,81649,30182,68,9541,26390,1681,59450,4005,1370
13307,2021-07-08 11:00:00+00:00,391.5,18983,82050,30570,68,9804,26388,1684,60003,4026,1380
13308,2021-07-08 12:00:00+00:00,397.44,18859,81897,31144,65,10197,26373,1829,55458,4315,1380
13309,2021-07-08 13:00:00+00:00,402.65,18822,81844,31887,66,10296,26231,1724,49760,6527,1357
13310,2021-07-08 14:00:00+00:00,415.5,18690,82468,31920,68,9779,24942,1684,41319,9453,1360
13311,2021-07-08 15:00:00+00:00,415.53,18727,81878,30890,68,9330,26265,1684,35671,12929,1360
13312,2021-07-08 16:00:00+00:00,423.85,18634,81356,30286,68,9150,26345,1686,26964,16050,1360
13313,2021-07-08 17:00:00+00:00,443.67,18720,81481,31262,71,9180,26346,1686,16754,15889,1360
13314,2021-07-08 18:00:00+00:00,463.64,18788,81602,31490,72,9637,26357,1684,8464,14229,1360
13315,2021-07-08 19:00:00+00:00,482.49,18616,81606,31270,72,9721,26431,1684,2269,12170,1360
13316,2021-07-08 20:00:00+00:00,489.03,18686,80757,30226,72,9570,26432,1684,74,11193,1360
13317,2021-07-08 21:00:00+00:00,491.82,18786,80078,28930,72,9129,26404,1684,0,10160,1360
13318,2021-07-08 22:00:00+00:00,485.79,18882,78224,28287,65,9252,26394,1684,0,10939,1358
13319,2021-07-08 23:00:00+00:00,468.07,18763,73481,24917,60,9392,26461,1684,0,13772,1352
13320,2021-07-09 00:00:00+00:00,390.26,18700,64301,14351,69,9043,30086,1664,0,32166,1343
13321,2021-07-09 01:00:00+00:00,442.98,18830,66936,23694,60,9327,26492,1684,0,17795,1352
13322,2021-07-09 02:00:00+00:00,440.92,18745,66812,24167,60,9609,26494,1683,0,18301,1352
13323,2021-07-09 03:00:00+00:00,443.08,18560,68491,24829,60,9458,26500,1684,20,19214,1352
13324,2021-07-09 04:00:00+00:00,445.36,18596,73613,25251,60,9043,26517,1684,799,22445,1372
13325,2021-07-09 05:00:00+00:00,440.74,18613,77164,26469,60,9375,26523,1684,4045,24319,1372
13326,2021-07-09 06:00:00+00:00,432.36,18683,77805,27582,60,9185,26515,1684,9975,23542,1372
13327,2021-07-09 07:00:00+00:00,416.16,18732,77682,28078,60,9113,26491,1684,18187,23908,1372
13328,2021-07-09 08:00:00+00:00,390.95,18776,76630,28087,62,8801,25961,1684,30101,26310,1372
13329,2021-07-09 09:00:00+00:00,365.22,18859,75791,27198,68,8872,26499,1684,42087,29258,1372
13330,2021-07-09 10:00:00+00:00,347.52,18923,72642,27890,68,8772,26480,1686,47711,32354,1372
13331,2021-07-09 11:00:00+00:00,334.26,18940,72284,28438,68,8813,26459,1684,55039,35259,1372
13332,2021-07-09 12:00:00+00:00,319.86,18968,69981,27378,67,8562,26459,1684,59386,38885,1372
13333,2021-07-09 13:00:00+00:00,315.01,18758,68528,26908,64,8571,26609,1686,58399,40991,1352
13334,2021-07-09 14:00:00+00:00,314.28,18763,67185,26097,64,8774,27861,1684,53342,41953,1367
13335,2021-07-09 15:00:00+00:00,324.44,18627,67750,27321,64,8858,28481,1687,46155,41245,1372
13336,2021-07-09 16:00:00+00:00,340.77,18592,69214,26819,64,8791,28558,1685,35901,40334,1332
13337,2021-07-09 17:00:00+00:00,367.64,18686,71726,26641,64,8904,28598,1684,23139,37390,1332
13338,2021-07-09 18:00:00+00:00,393.94,18711,72743,26852,65,8396,29648,1694,10711,34357,1332
13339,2021-07-09 19:00:00+00:00,408.44,18587,72334,26617,68,8702,29868,1696,2713,33275,1332
13340,2021-07-09 20:00:00+00:00,410.94,18684,71504,25716,68,8742,30471,1680,119,32708,1332
13341,2021-07-09 21:00:00+00:00,406.48,18629,71336,25416,72,8751,30789,1656,0,34409,1332
13342,2021-07-09 22:00:00+00:00,397.79,18695,69460,21129,72,8549,30969,1656,0,35660,1341
13343,2021-07-09 23:00:00+00:00,382.62,18661,65760,12923,72,8642,31116,1656,0,36390,1370
13344,2021-07-10 00:00:00+00:00,400.15,18772,60356,12178,69,8673,31570,1673,0,21921,1379
13345,2021-07-10 01:00:00+00:00,373.38,18642,62063,10126,72,8505,31428,1658,0,35237,1340
13346,2021-07-10 02:00:00+00:00,371.88,18588,60788,10395,72,8488,31459,1660,0,34453,1340
13347,2021-07-10 03:00:00+00:00,365.8,18511,59438,10356,75,8825,31545,1660,21,35187,1352
13348,2021-07-10 04:00:00+00:00,358.41,18460,58432,9982,76,8828,31567,1662,1453,35966,1356
13349,2021-07-10 05:00:00+00:00,354.86,18448,60415,10328,73,8696,31620,1662,10058,32843,1356
13350,2021-07-10 06:00:00+00:00,345.24,18730,62980,11235,70,8727,31646,1658,26844,26702,1356
13351,2021-07-10 07:00:00+00:00,317.29,18724,63414,11128,68,9075,31587,1658,49784,24018,1356
13352,2021-07-10 08:00:00+00:00,286.33,18914,62762,10937,65,8766,31483,1664,74365,25149,1356
13353,2021-07-10 09:00:00+00:00,260.31,18933,60131,10248,64,8551,30824,1660,95624,25671,1356
13354,2021-07-10 10:00:00+00:00,245.45,18960,57734,9840,62,8484,30755,1658,108194,24793,1356
13355,2021-07-10 11:00:00+00:00,239.37,18926,55392,10562,60,8771,30803,1661,112657,22492,1356
13356,2021-07-10 12:00:00+00:00,239.16,18923,53826,10943,60,8372,30778,1661,112763,19475,1356
13357,2021-07-10 13:00:00+00:00,251.05,18759,55355,11282,60,8538,30802,1659,106667,15719,1356
13358,2021-07-10 14:00:00+00:00,270.09,18800,57485,11670,60,8397,30820,1657,95270,12191,1356
13359,2021-07-10 15:00:00+00:00,297.06,18707,59827,12639,56,8625,30825,1656,78846,8983,1356
13360,2021-07-10 16:00:00+00:00,337.28,18706,63564,13150,59,9098,31123,1656,56468,6740,1356
13361,2021-07-10 17:00:00+00:00,381.82,18832,65478,14268,60,9161,31503,1661,33667,5309,1371
13362,2021-07-10 18:00:00+00:00,424.39,18786,66314,14835,60,8767,31513,1659,14197,5791,1376
13363,2021-07-10 19:00:00+00:00,445.89,18894,67038,15036,62,8535,31506,1663,3286,8599,1376
13364,2021-07-10 20:00:00+00:00,447.99,18872,67119,15200,64,8744,31523,1675,100,10667,1376
13365,2021-07-10 21:00:00+00:00,447.25,18836,66989,15221,65,8882,31533,1676,0,10787,1376
13366,2021-07-10 22:00:00+00:00,437.77,18883,65626,14406,68,8599,31539,1675,0,13157,1370
13367,2021-07-10 23:00:00+00:00,422.02,18740,62553,13375,68,8557,31575,1676,0,16022,1352
13368,2021-07-11 00:00:00+00:00,408.4,18656,63443,13107,72,8838,31306,1667,0,22219,1395
13369,2021-07-11 01:00:00+00:00,403.26,18641,57243,12093,68,8683,31587,1676,0,17399,1392
13370,2021-07-11 02:00:00+00:00,403.46,18672,56905,12034,68,8706,31590,1676,0,16912,1392
13371,2021-07-11 03:00:00+00:00,401.21,18577,56337,11644,68,8755,31639,1676,29,16987,1392
13372,2021-07-11 04:00:00+00:00,394.3,18596,56228,11330,69,8786,31712,1676,1596,17898,1392
13373,2021-07-11 05:00:00+00:00,385.55,18652,56430,11691,72,8684,31759,1676,7911,16004,1392
13374,2021-07-11 06:00:00+00:00,374.94,18720,57228,12469,71,8517,31764,1676,19461,11382,1392
13375,2021-07-11 07:00:00+00:00,350.97,18733,57225,12653,70,8569,31748,1676,36697,7373,1392
13376,2021-07-11 08:00:00+00:00,320.66,18697,56977,10588,68,8500,31718,1677,54488,7357,1392
13377,2021-07-11 09:00:00+00:00,295.73,18721,56637,9601,68,8830,31679,1676,69965,8909,1392
13378,2021-07-11 10:00:00+00:00,286.62,18535,57089,10127,68,8684,31615,1676,78271,9987,1392
13379,2021-07-11 11:00:00+00:00,281.49,18321,56864,9977,68,8826,31594,1677,81297,10839,1398
13380,2021-07-11 12:00:00+00:00,279.88,18600,56371,9540,68,8422,31583,1677,80306,12068,1416
13381,2021-07-11 13:00:00+00:00,274.32,18688,54259,9311,68,8430,31504,1665,77530,14610,1416
13382,2021-07-11 14:00:00+00:00,268.48,18721,52176,9541,62,8837,31531,1651,74290,17656,1416
13383,2021-07-11 15:00:00+00:00,277.54,18654,54079,9649,49,9255,31529,1656,67643,19708,1416
13384,2021-07-11 16:00:00+00:00,314.38,18640,60790,10608,54,8869,31524,1658,52112,19675,1416
13385,2021-07-11 17:00:00+00:00,347.78,18738,61918,12806,66,9493,31519,1662,31938,19321,1416
13386,2021-07-11 18:00:00+00:00,391.11,18769,64645,15112,65,9468,31516,1664,13696,18094,1416
13387,2021-07-11 19:00:00+00:00,416.37,18789,66378,16153,68,8838,31518,1664,3176,19369,1416
13388,2021-07-11 20:00:00+00:00,421.04,18849,67627,16530,69,9042,31522,1664,88,21346,1416
13389,2021-07-11 21:00:00+00:00,414.05,18674,67393,16682,72,9469,31528,1664,0,23794,1416
13390,2021-07-11 22:00:00+00:00,410.93,18729,67229,15543,72,9205,31527,1664,0,24959,1411
13391,2021-07-11 23:00:00+00:00,411.48,18816,66784,14673,72,8398,31558,1665,0,24800,1396
